422_122949_000000_000000	--Is this our mode?--From German heart came this vexed ululating?	--Is this our mode?--From German heart came this vexed ululating?	false	0	4.41	23.433294
422_122949_000007_000005	The most varied experience teaches it what are the qualities to which it principally owes the fact that it still exists, in spite of all Gods and men, and has hitherto been victorious: these qualities it calls virtues, and these virtues alone it develops to maturity.	The most varied experience teaches it what are the qualities to which it principally owes the fact that it still exists, in spite of all Gods and men, and has hitherto been victorious: these qualities it calls virtues, and these virtues alone it develops to maturity.	true	1265.87	1282.72	19
422_122949_000007_000006	It does so with severity, indeed it desires severity; every aristocratic morality is intolerant in the education of youth, in the control of women, in the marriage customs, in the relations of old and young, in the penal laws (which have an eye only for the degenerating): it counts intolerance itself among the virtues, under the name of "justice." A type with few, but very marked features, a species of severe, warlike, wisely silent, reserved, and reticent men (and as such, with the most delicate sensibility for the charm and nuances of society) is thus established, unaffected by the vicissitudes of generations; the constant struggle with uniform UNFAVOURABLE conditions is, as already remarked, the cause of a type becoming stable and hard.	It does so with severity, indeed it desires severity; every aristocratic morality is intolerant in the education of youth, in the control of women, in the marriage customs, in the relations of old and young, in the penal laws (which have an eye only for the degenerating): it counts intolerance itself among the virtues, under the name of "justice." A type with few, but very marked features, a species of severe, warlike, wisely silent, reserved, and reticent men (and as such, with the most delicate sensibility for the charm and nuances of society) is thus established, unaffected by the vicissitudes of generations; the constant struggle with uniform UNFAVOURABLE conditions is, as already remarked, the cause of a type becoming stable and hard.	false	1282.91	1332.37	16
422_122949_000007_000007	Finally, however, a happy state of things results, the enormous tension is relaxed; there are perhaps no more enemies among the neighbouring peoples, and the means of life, even of the enjoyment of life, are present in superabundance.	Finally, however, a happy state of things results, the enormous tension is relaxed; there are perhaps no more enemies among the neighbouring peoples, and the means of life, even of the enjoyment of life, are present in superabundance.	true	1333.61	1346.83	16
422_122949_000007_000008	With one stroke the bond and constraint of the old discipline severs: it is no longer regarded as necessary, as a condition of existence--if it would continue, it can only do so as a form of LUXURY, as an archaizing TASTE.	With one stroke the bond and constraint of the old discipline severs: it is no longer regarded as necessary, as a condition of existence-if it would continue, it can only do so as a form of LUXURY, as an archaizing TASTE.	true	1347.02	1361.41	16
422_122949_000007_000009	Variations, whether they be deviations (into the higher, finer, and rarer), or deteriorations and monstrosities, appear suddenly on the scene in the greatest exuberance and splendour; the individual dares to be individual and detach himself.	Variations, whether they be deviations (into the higher, finer, and rarer), or deteriorations and monstrosities, appear suddenly on the scene in the greatest exuberance and splendour; the individual dares to be individual and detach himself.	true	1361.6	1377.16	14
422_122949_000007_000010	At this turning-point of history there manifest themselves, side by side, and often mixed and entangled together, a magnificent, manifold, virgin-forest-like up-growth and up-striving, a kind of TROPICAL TEMPO in the rivalry of growth, and an extraordinary decay and self-destruction, owing to the savagely opposing and seemingly exploding egoisms, which strive with one another "for sun and light," and can no longer assign any limit, restraint, or forbearance for themselves by means of the hitherto existing morality.	At this turning point of history there manifest themselves, side by side, and often mixed and entangled together, a magnificent, manifold, virgin forest like up growth and up striving, a kind of TROPICAL TEMPO in the rivalry of growth, and an extraordinary decay and self destruction, owing to the savagely opposing and seemingly exploding egoisms, which strive with one another "for sun and light," and can no longer assign any limit, restraint, or forbearance for themselves by means of the hitherto existing morality.	true	1377.35	1409.56	14
422_122949_000007_000011	It was this morality itself which piled up the strength so enormously, which bent the bow in so threatening a manner:--it is now "out of date," it is getting "out of date." The dangerous and disquieting point has been reached when the greater, more manifold, more comprehensive life IS LIVED BEYOND the old morality; the "individual" stands out, and is obliged to have recourse to his own law-giving, his own arts and artifices for self-preservation, self-elevation, and self-deliverance. Nothing but new "Whys," nothing but new "Hows," no common formulas any longer, misunderstanding and disregard in league with each other, decay, deterioration, and the loftiest desires frightfully entangled, the genius of the race overflowing from all the cornucopias of good and bad, a portentous simultaneousness of Spring and Autumn, full of new charms and mysteries peculiar to the fresh, still inexhausted, still unwearied corruption.	It was this morality itself which piled up the strength so enormously, which bent the bow in so threatening a manner:--it is now "out of date," it is getting "out of date." The dangerous and disquieting point has been reached when the greater, more manifold, more comprehensive life IS LIVED BEYOND the old morality; the "individual" stands out, and is obliged to have recourse to his own law giving, his own arts and artifices for self preservation, self elevation, and self deliverance. Nothing but new "Whys," nothing but new "Hows," no common formulas any longer, misunderstanding and disregard in league with each other, decay, deterioration, and the loftiest desires frightfully entangled, the genius of the race overflowing from all the cornucopias of good and bad, a portentous simultaneousness of Spring and Autumn, full of new charms and mysteries peculiar to the fresh, still inexhausted, still unwearied corruption.	false	1410.14	1470.12	17
422_122949_000007_000012	Danger is again present, the mother of morality, great danger; this time shifted into the individual, into the neighbour and friend, into the street, into their own child, into their own heart, into all the most personal and secret recesses of their desires and volitions.	Danger is again present, the mother of morality, great danger; this time shifted into the individual, into the neighbour and friend, into the street, into their own child, into their own heart, into all the most personal and secret recesses of their desires and volitions.	false	1470.12	1487.74	17
422_122949_000007_000013	What will the moral philosophers who appear at this time have to preach?	What will the moral philosophers who appear at this time have to preach?	true	1488.29	1492.75	17
422_122949_000007_000014	They discover, these sharp onlookers and loafers, that the end is quickly approaching, that everything around them decays and produces decay, that nothing will endure until the day after tomorrow, except one species of man, the incurably MEDIOCRE.	They discover, these sharp onlookers and loafers, that the end is quickly approaching, that everything around them decays and produces decay, that nothing will endure until the day after tomorrow, except one species of man, the incurably MEDIOCRE.	true	1493.63	1510.06	17
422_122949_000007_000015	The mediocre alone have a prospect of continuing and propagating themselves--they will be the men of the future, the sole survivors; "be like them!	The mediocre alone have a prospect of continuing and propagating themselves-they will be the men of the future, the sole survivors; "be like them!	true	1511.36	1520.43	19.721203
422_122949_000007_000016	become mediocre!" is now the only morality which has still a significance, which still obtains a hearing.--But it is difficult to preach this morality of mediocrity! it can never avow what it is and what it desires! it has to talk of moderation and dignity and duty and brotherly love--it will have difficulty IN CONCEALING ITS IRONY!	become mediocre!" is now the only morality which has still a significance, which still obtains a hearing.--But it is difficult to preach this morality of mediocrity! it can never avow what it is and what it desires! it has to talk of moderation and dignity and duty and brotherly love-it will have difficulty IN CONCEALING ITS IRONY!	false	1520.43	1540.53	16
422_122949_000008_000000	263.	two hundred sixty three.	false	1540.53	1542.39	-20
422_122949_000008_000001	There is an INSTINCT FOR RANK, which more than anything else is already the sign of a HIGH rank; there is a DELIGHT in the NUANCES of reverence which leads one to infer noble origin and habits.	There is an INSTINCT FOR RANK, which more than anything else is already the sign of a HIGH rank; there is a DELIGHT in the NUANCES of reverence which leads one to infer noble origin and habits.	false	1542.39	1556.97	17.657438
422_122949_000008_000002	The refinement, goodness, and loftiness of a soul are put to a perilous test when something passes by that is of the highest rank, but is not yet protected by the awe of authority from obtrusive touches and incivilities: something that goes its way like a living touchstone, undistinguished, undiscovered, and tentative, perhaps voluntarily veiled and disguised.	The refinement, goodness, and loftiness of a soul are put to a perilous test when something passes by that is of the highest rank, but is not yet protected by the awe of authority from obtrusive touches and incivilities: something that goes its way like a living touchstone, undistinguished, undiscovered, and tentative, perhaps voluntarily veiled and disguised.	false	1556.97	1580.38	18
422_122949_000008_000003	He whose task and practice it is to investigate souls, will avail himself of many varieties of this very art to determine the ultimate value of a soul, the unalterable, innate order of rank to which it belongs: he will test it by its INSTINCT FOR REVERENCE.	He whose task and practice it is to investigate souls, will avail himself of many varieties of this very art to determine the ultimate value of a soul, the unalterable, innate order of rank to which it belongs: he will test it by its INSTINCT FOR REVERENCE.	false	1580.57	1597.02	16
422_122949_000008_000004	DIFFERENCE ENGENDRE HAINE: the vulgarity of many a nature spurts up suddenly like dirty water, when any holy vessel, any jewel from closed shrines, any book bearing the marks of great destiny, is brought before it; while on the other hand, there is an involuntary silence, a hesitation of the eye, a cessation of all gestures, by which it is indicated that a soul FEELS the nearness of what is worthiest of respect.	DIFFERENCE e n g e n d r e HAINE: the vulgarity of many a nature spurts up suddenly like dirty water, when any holy vessel, any jewel from closed shrines, any book bearing the marks of great destiny, is brought before it; while on the other hand, there is an involuntary silence, a hesitation of the eye, a cessation of all gestures, by which it is indicated that a soul FEELS the nearness of what is worthiest of respect.	false	1597.02	1629.61	19.01787
422_122949_000008_000005	The way in which, on the whole, the reverence for the BIBLE has hitherto been maintained in Europe, is perhaps the best example of discipline and refinement of manners which Europe owes to Christianity: books of such profoundness and supreme significance require for their protection an external tyranny of authority, in order to acquire the PERIOD of thousands of years which is necessary to exhaust and unriddle them.	The way in which, on the whole, the reverence for the BIBLE has hitherto been maintained in Europe, is perhaps the best example of discipline and refinement of manners which Europe owes to Christianity: books of such profoundness and supreme significance require for their protection an external tyranny of authority, in order to acquire the PERIOD of thousands of years which is necessary to exhaust and unriddle them.	false	1629.92	1654.09	16
422_122949_000008_000006	Much has been achieved when the sentiment has been at last instilled into the masses (the shallow-pates and the boobies of every kind) that they are not allowed to touch everything, that there are holy experiences before which they must take off their shoes and keep away the unclean hand--it is almost their highest advance towards humanity.	Much has been achieved when the sentiment has been at last instilled into the masses (the shallow pates and the boobies of every kind) that they are not allowed to touch everything, that there are holy experiences before which they must take off their shoes and keep away the unclean hand-it is almost their highest advance towards humanity.	true	1654.25	1673.32	15
422_122949_000008_000007	On the contrary, in the so-called cultured classes, the believers in "modern ideas," nothing is perhaps so repulsive as their lack of shame, the easy insolence of eye and hand with which they touch, taste, and finger everything; and it is possible that even yet there is more RELATIVE nobility of taste, and more tact for reverence among the people, among the lower classes of the people, especially among peasants, than among the newspaper-reading DEMIMONDE of intellect, the cultured class.	On the contrary, in the so-called cultured classes, the believers in "modern ideas," nothing is perhaps so repulsive as their lack of shame, the easy insolence of eye and hand with which they touch, taste, and finger everything; and it is possible that even yet there is more RELATIVE nobility of taste, and more tact for reverence among the people, among the lower classes of the people, especially among peasants, than among the newspaper reading DEMIMONDE of intellect, the cultured class.	false	1673.63	1704.57	17
422_122949_000009_000000	264.	two hundred sixty four.	false	1704.57	1705.44	-20
422_122949_000009_000001	It cannot be effaced from a man's soul what his ancestors have preferably and most constantly done: whether they were perhaps diligent economizers attached to a desk and a cash-box, modest and citizen-like in their desires, modest also in their virtues; or whether they were accustomed to commanding from morning till night, fond of rude pleasures and probably of still ruder duties and responsibilities; or whether, finally, at one time or another, they have sacrificed old privileges of birth and possession, in order to live wholly for their faith--for their "God,"--as men of an inexorable and sensitive conscience, which blushes at every compromise.	It cannot be effaced from a man's soul what his ancestors have preferably and most constantly done: whether they were perhaps diligent economizers attached to a desk and a cash box, modest and citizen like in their desires, modest also in their virtues; or whether they were accustomed to commanding from morning till night, fond of rude pleasures and probably of still ruder duties and responsibilities; or whether, finally, at one time or another, they have sacrificed old privileges of birth and possession, in order to live wholly for their faith-for their "God,"--as men of an inexorable and sensitive conscience, which blushes at every compromise.	true	1705.44	1743.69	16
422_122949_000009_000002	It is quite impossible for a man NOT to have the qualities and predilections of his parents and ancestors in his constitution, whatever appearances may suggest to the contrary.	It is quite impossible for a man NOT to have the qualities and predilections of his parents and ancestors in his constitution, whatever appearances may suggest to the contrary.	false	1743.69	1753.33	15
422_122949_000009_000003	This is the problem of race.	This is the problem of race.	true	1753.76	1755.7	18
422_122949_000009_000004	Granted that one knows something of the parents, it is admissible to draw a conclusion about the child: any kind of offensive incontinence, any kind of sordid envy, or of clumsy self-vaunting--the three things which together have constituted the genuine plebeian type in all times--such must pass over to the child, as surely as bad blood; and with the help of the best education and culture one will only succeed in DECEIVING with regard to such heredity.--And what else does education and culture try to do nowadays!	Granted that one knows something of the parents, it is admissible to draw a conclusion about the child: any kind of offensive incontinence, any kind of sordid envy, or of clumsy self vaunting-the three things which together have constituted the genuine plebeian type in all times-such must pass over to the child, as surely as bad blood; and with the help of the best education and culture one will only succeed in DECEIVING with regard to such heredity.--And what else does education and culture try to do nowadays!	false	1755.7	1786.39	16
422_122949_000009_000005	In our very democratic, or rather, very plebeian age, "education" and "culture" MUST be essentially the art of deceiving--deceiving with regard to origin, with regard to the inherited plebeianism in body and soul.	In our very democratic, or rather, very plebeian age, "education" and "culture" MUST be essentially the art of deceiving-deceiving with regard to origin, with regard to the inherited plebeianism in body and soul.	true	1786.94	1800.91	15
422_122949_000009_000006	An educator who nowadays preached truthfulness above everything else, and called out constantly to his pupils: "Be true!	An educator who nowadays preached truthfulness above everything else, and called out constantly to his pupils: "Be true!	false	1801.61	1808.74	18
422_122949_000009_000007	Be natural!	Be natural!	true	1808.81	1809.75	22.519012
422_122949_000009_000008	Show yourselves as you are!"--even such a virtuous and sincere ass would learn in a short time to have recourse to the FURCA of Horace, NATURAM EXPELLERE: with what results?	Show yourselves as you are!"--even such a virtuous and sincere ass would learn in a short time to have recourse to the FURCA of Horace, n a t u r a m e x p e l l e r e: with what results?	false	1809.75	1823.05	20.721052
422_122949_000009_000009	"Plebeianism" USQUE RECURRET.	"Plebeianism" USQUE r e c u r r e t.	false	1823.6	1827.16	17.005157
422_122949_000009_000010	[FOOTNOTE: Horace's "Epistles," I. x.	[FOOTNOTE: Horace's "Epistles," i x.	false	1827.16	1831.29	20.819157
422_122949_000009_000011	24.]	twenty four.]	true	1831.29	1832.04	17
422_122949_000010_000000	265.	two hundred sixty five.	false	1832.04	1833.12	-6
422_122949_000010_000001	At the risk of displeasing innocent ears, I submit that egoism belongs to the essence of a noble soul, I mean the unalterable belief that to a being such as "we," other beings must naturally be in subjection, and have to sacrifice themselves.	At the risk of displeasing innocent ears, I submit that egoism belongs to the essence of a noble soul, I mean the unalterable belief that to a being such as "we," other beings must naturally be in subjection, and have to sacrifice themselves.	true	1833.12	1849.54	16
422_122949_000010_000002	The noble soul accepts the fact of his egoism without question, and also without consciousness of harshness, constraint, or arbitrariness therein, but rather as something that may have its basis in the primary law of things:--if he sought a designation for it he would say: "It is justice itself." He acknowledges under certain circumstances, which made him hesitate at first, that there are other equally privileged ones; as soon as he has settled this question of rank, he moves among those equals and equally privileged ones with the same assurance, as regards modesty and delicate respect, which he enjoys in intercourse with himself--in accordance with an innate heavenly mechanism which all the stars understand.	The noble soul accepts the fact of his egoism without question, and also without consciousness of harshness, constraint, or arbitrariness therein, but rather as something that may have its basis in the primary law of things:--if he sought a designation for it he would say: "It is justice itself." He acknowledges under certain circumstances, which made him hesitate at first, that there are other equally privileged ones; as soon as he has settled this question of rank, he moves among those equals and equally privileged ones with the same assurance, as regards modesty and delicate respect, which he enjoys in intercourse with himself-in accordance with an innate heavenly mechanism which all the stars understand.	false	1850	1894.81	18
422_122949_000010_000003	It is an ADDITIONAL instance of his egoism, this artfulness and self-limitation in intercourse with his equals--every star is a similar egoist; he honours HIMSELF in them, and in the rights which he concedes to them, he has no doubt that the exchange of honours and rights, as the ESSENCE of all intercourse, belongs also to the natural condition of things.	It is an ADDITIONAL instance of his egoism, this artfulness and self limitation in intercourse with his equals-every star is a similar egoist; he honours HIMSELF in them, and in the rights which he concedes to them, he has no doubt that the exchange of honours and rights, as the ESSENCE of all intercourse, belongs also to the natural condition of things.	false	1895.27	1915.96	15
422_122949_000010_000004	The noble soul gives as he takes, prompted by the passionate and sensitive instinct of requital, which is at the root of his nature.	The noble soul gives as he takes, prompted by the passionate and sensitive instinct of requital, which is at the root of his nature.	true	1916.09	1923.82	16
422_122949_000010_000005	The notion of "favour" has, INTER PARES, neither significance nor good repute; there may be a sublime way of letting gifts as it were light upon one from above, and of drinking them thirstily like dew-drops; but for those arts and displays the noble soul has no aptitude.	The notion of "favour" has, INTER PARES, neither significance nor good repute; there may be a sublime way of letting gifts as it were light upon one from above, and of drinking them thirstily like dew drops; but for those arts and displays the noble soul has no aptitude.	false	1924.07	1942.79	17
422_122949_000010_000006	His egoism hinders him here: in general, he looks "aloft" unwillingly--he looks either FORWARD, horizontally and deliberately, or downwards--HE KNOWS THAT HE IS ON A HEIGHT.	His egoism hinders him here: in general, he looks "aloft" unwillingly-he looks either FORWARD, horizontally and deliberately, or downwards-HE KNOWS THAT HE IS ON A HEIGHT.	true	1942.79	1954.26	17
422_122949_000011_000000	266.	two hundred sixty six.	false	1954.26	1955.82	-20
422_122949_000011_000001	"One can only truly esteem him who does not LOOK OUT FOR himself."--Goethe to Rath Schlosser.	"One can only truly esteem him who does not LOOK OUT FOR himself."--Goethe to Rath Schlosser.	false	1955.82	1961.85	16
422_122949_000012_000000	267.	two hundred sixty seven.	false	1961.85	1962.72	-20
422_122949_000012_000001	The Chinese have a proverb which mothers even teach their children: "SIAO-SIN" ("MAKE THY HEART SMALL").	The Chinese have a proverb which mothers even teach their children: "SIAO SIN" ("MAKE THY HEART SMALL").	false	1962.72	1969.96	18.557821
422_122949_000012_000002	This is the essentially fundamental tendency in latter-day civilizations.	This is the essentially fundamental tendency in latter day civilizations.	true	1970.81	1975.09	11
422_122949_000012_000003	I have no doubt that an ancient Greek, also, would first of all remark the self-dwarfing in us Europeans of today--in this respect alone we should immediately be "distasteful" to him.	I have no doubt that an ancient Greek, also, would first of all remark the self dwarfing in us Europeans of today-in this respect alone we should immediately be "distasteful" to him.	false	1975.82	1987.2	15
422_122949_000013_000000	268.	two hundred sixty eight.	false	1987.2	1988.1	-20
422_122949_000013_000001	What, after all, is ignobleness?--Words are vocal symbols for ideas; ideas, however, are more or less definite mental symbols for frequently returning and concurring sensations, for groups of sensations.	What, after all, is ignobleness?--Words are vocal symbols for ideas; ideas, however, are more or less definite mental symbols for frequently returning and concurring sensations, for groups of sensations.	true	1988.1	2001.76	16
422_122949_000013_000002	It is not sufficient to use the same words in order to understand one another: we must also employ the same words for the same kind of internal experiences, we must in the end have experiences IN COMMON.	It is not sufficient to use the same words in order to understand one another: we must also employ the same words for the same kind of internal experiences, we must in the end have experiences IN COMMON.	true	2002.22	2015.59	18
422_122949_000013_000003	On this account the people of one nation understand one another better than those belonging to different nations, even when they use the same language; or rather, when people have lived long together under similar conditions (of climate, soil, danger, requirement, toil) there ORIGINATES therefrom an entity that "understands itself"--namely, a nation.	On this account the people of one nation understand one another better than those belonging to different nations, even when they use the same language; or rather, when people have lived long together under similar conditions (of climate, soil, danger, requirement, toil) there ORIGINATES therefrom an entity that "understands itself"--namely, a nation.	true	2016.35	2039.08	16
422_122949_000013_000004	In all souls a like number of frequently recurring experiences have gained the upper hand over those occurring more rarely: about these matters people understand one another rapidly and always more rapidly--the history of language is the history of a process of abbreviation; on the basis of this quick comprehension people always unite closer and closer.	In all souls a like number of frequently recurring experiences have gained the upper hand over those occurring more rarely: about these matters people understand one another rapidly and always more rapidly-the history of language is the history of a process of abbreviation; on the basis of this quick comprehension people always unite closer and closer.	true	2039.93	2062	17
422_122949_000013_000005	The greater the danger, the greater is the need of agreeing quickly and readily about what is necessary; not to misunderstand one another in danger--that is what cannot at all be dispensed with in intercourse.	The greater the danger, the greater is the need of agreeing quickly and readily about what is necessary; not to misunderstand one another in danger-that is what cannot at all be dispensed with in intercourse.	true	2062.43	2074.78	16
422_122949_000013_000006	Also in all loves and friendships one has the experience that nothing of the kind continues when the discovery has been made that in using the same words, one of the two parties has feelings, thoughts, intuitions, wishes, or fears different from those of the other. (The fear of the "eternal misunderstanding": that is the good genius which so often keeps persons of different sexes from too hasty attachments, to which sense and heart prompt them--and NOT some Schopenhauerian "genius of the species"!) Whichever groups of sensations within a soul awaken most readily, begin to speak, and give the word of command--these decide as to the general order of rank of its values, and determine ultimately its list of desirable things.	Also in all loves and friendships one has the experience that nothing of the kind continues when the discovery has been made that in using the same words, one of the two parties has feelings, thoughts, intuitions, wishes, or fears different from those of the other. (The fear of the "eternal misunderstanding": that is the good genius which so often keeps persons of different sexes from too hasty attachments, to which sense and heart prompt them-and NOT some Schopenhauerian "genius of the species"!) Whichever groups of sensations within a soul awaken most readily, begin to speak, and give the word of command-these decide as to the general order of rank of its values, and determine ultimately its list of desirable things.	false	2075.06	2120.53	16
422_122949_000013_000007	A man's estimates of value betray something of the STRUCTURE of his soul, and wherein it sees its conditions of life, its intrinsic needs.	A man's estimates of value betray something of the STRUCTURE of his soul, and wherein it sees its conditions of life, its intrinsic needs.	true	2120.72	2130.16	17
422_122949_000013_000008	Supposing now that necessity has from all time drawn together only such men as could express similar requirements and similar experiences by similar symbols, it results on the whole that the easy COMMUNICABILITY of need, which implies ultimately the undergoing only of average and COMMON experiences, must have been the most potent of all the forces which have hitherto operated upon mankind.	Supposing now that necessity has from all time drawn together only such men as could express similar requirements and similar experiences by similar symbols, it results on the whole that the easy c o m m u n i c a b i l i t y of need, which implies ultimately the undergoing only of average and COMMON experiences, must have been the most potent of all the forces which have hitherto operated upon mankind.	false	2130.5	2155.45	13
422_122949_000013_000009	The more similar, the more ordinary people, have always had and are still having the advantage; the more select, more refined, more unique, and difficultly comprehensible, are liable to stand alone; they succumb to accidents in their isolation, and seldom propagate themselves.	The more similar, the more ordinary people, have always had and are still having the advantage; the more select, more refined, more unique, and difficultly comprehensible, are liable to stand alone; they succumb to accidents in their isolation, and seldom propagate themselves.	true	2155.79	2172.16	17
422_122949_000013_000010	One must appeal to immense opposing forces, in order to thwart this natural, all-too-natural PROGRESSUS IN SIMILE, the evolution of man to the similar, the ordinary, the average, the gregarious--to the IGNOBLE--!	One must appeal to immense opposing forces, in order to thwart this natural, all too natural PROGRESSUS IN SIMILE, the evolution of man to the similar, the ordinary, the average, the gregarious-to the IGNOBLE-!	true	2172.41	2188.29	20.70347
422_122949_000014_000000	269.	two hundred sixty nine.	false	2188.29	2189.49	1
422_122949_000014_000001	The more a psychologist--a born, an unavoidable psychologist and soul-diviner--turns his attention to the more select cases and individuals, the greater is his danger of being suffocated by sympathy: he NEEDS sternness and cheerfulness more than any other man.	The more a psychologist-a born, an unavoidable psychologist and soul diviner-turns his attention to the more select cases and individuals, the greater is his danger of being suffocated by sympathy: he NEEDS sternness and cheerfulness more than any other man.	false	2189.49	2205.06	12
422_122949_000014_000002	For the corruption, the ruination of higher men, of the more unusually constituted souls, is in fact, the rule: it is dreadful to have such a rule always before one's eyes.	For the corruption, the ruination of higher men, of the more unusually constituted souls, is in fact, the rule: it is dreadful to have such a rule always before one's eyes.	false	2205.06	2216.4	12
422_122949_000014_000003	The manifold torment of the psychologist who has discovered this ruination, who discovers once, and then discovers ALMOST repeatedly throughout all history, this universal inner "desperateness" of higher men, this eternal "too late!" in every sense--may perhaps one day be the cause of his turning with bitterness against his own lot, and of his making an attempt at self-destruction--of his "going to ruin" himself.	The manifold torment of the psychologist who has discovered this ruination, who discovers once, and then discovers ALMOST repeatedly throughout all history, this universal inner "desperateness" of higher men, this eternal "too late!" in every sense-may perhaps one day be the cause of his turning with bitterness against his own lot, and of his making an attempt at self destruction-of his "going to ruin" himself.	false	2216.4	2239.59	17
422_122949_000014_000004	One may perceive in almost every psychologist a tell-tale inclination for delightful intercourse with commonplace and well-ordered men; the fact is thereby disclosed that he always requires healing, that he needs a sort of flight and forgetfulness, away from what his insight and incisiveness--from what his "business"--has laid upon his conscience. The fear of his memory is peculiar to him.	One may perceive in almost every psychologist a tell tale inclination for delightful intercourse with commonplace and well ordered men; the fact is thereby disclosed that he always requires healing, that he needs a sort of flight and forgetfulness, away from what his insight and incisiveness-from what his "business"--has laid upon his conscience. The fear of his memory is peculiar to him.	false	2239.59	2264.55	17
422_122949_000014_000005	He is easily silenced by the judgment of others; he hears with unmoved countenance how people honour, admire, love, and glorify, where he has PERCEIVED--or he even conceals his silence by expressly assenting to some plausible opinion.	He is easily silenced by the judgment of others; he hears with unmoved countenance how people honour, admire, love, and glorify, where he has PERCEIVED-or he even conceals his silence by expressly assenting to some plausible opinion.	false	2264.55	2279.46	16
422_122949_000014_000006	Perhaps the paradox of his situation becomes so dreadful that, precisely where he has learnt GREAT SYMPATHY, together with great CONTEMPT, the multitude, the educated, and the visionaries, have on their part learnt great reverence--reverence for "great men" and marvelous animals, for the sake of whom one blesses and honours the fatherland, the earth, the dignity of mankind, and one's own self, to whom one points the young, and in view of whom one educates them.	Perhaps the paradox of his situation becomes so dreadful that, precisely where he has learnt GREAT SYMPATHY, together with great CONTEMPT, the multitude, the educated, and the visionaries, have on their part learnt great reverence-reverence for "great men" and marvelous animals, for the sake of whom one blesses and honours the fatherland, the earth, the dignity of mankind, and one's own self, to whom one points the young, and in view of whom one educates them.	false	2279.46	2308.08	18
422_122949_000014_000007	And who knows but in all great instances hitherto just the same happened: that the multitude worshipped a God, and that the "God" was only a poor sacrificial animal!	And who knows but in all great instances hitherto just the same happened: that the multitude worshipped a God, and that the "God" was only a poor sacrificial animal!	false	2308.08	2319.06	16
422_122949_000014_000008	SUCCESS has always been the greatest liar--and the "work" itself is a success; the great statesman, the conqueror, the discoverer, are disguised in their creations until they are unrecognizable; the "work" of the artist, of the philosopher, only invents him who has created it, is REPUTED to have created it; the "great men," as they are reverenced, are poor little fictions composed afterwards; in the world of historical values spurious coinage PREVAILS.	SUCCESS has always been the greatest liar-and the "work" itself is a success; the great statesman, the conqueror, the discoverer, are disguised in their creations until they are unrecognizable; the "work" of the artist, of the philosopher, only invents him who has created it, is REPUTED to have created it; the "great men," as they are reverenced, are poor little fictions composed afterwards; in the world of historical values spurious coinage PREVAILS.	false	2319.06	2353.95	16
422_122949_000014_000009	Those great poets, for example, such as Byron, Musset, Poe, Leopardi, Kleist, Gogol (I do not venture to mention much greater names, but I have them in my mind), as they now appear, and were perhaps obliged to be: men of the moment, enthusiastic, sensuous, and childish, light-minded and impulsive in their trust and distrust; with souls in which usually some flaw has to be concealed; often taking revenge with their works for an internal defilement, often seeking forgetfulness in their soaring from a too true memory, often lost in the mud and almost in love with it, until they become like the Will-o'-the-Wisps around the swamps, and PRETEND TO BE stars--the people then call them idealists,--often struggling with protracted disgust, with an ever-reappearing phantom of disbelief, which makes them cold, and obliges them to languish for GLORIA and devour "faith as it is" out of the hands of intoxicated adulators:--what a TORMENT these great artists are and the so-called higher men in general, to him who has once found them out!	Those great poets, for example, such as Byron, Musset, Poe, Leopardi, Kleist, Gogol (I do not venture to mention much greater names, but I have them in my mind), as they now appear, and were perhaps obliged to be: men of the moment, enthusiastic, sensuous, and childish, light minded and impulsive in their trust and distrust; with souls in which usually some flaw has to be concealed; often taking revenge with their works for an internal defilement, often seeking forgetfulness in their soaring from a too true memory, often lost in the mud and almost in love with it, until they become like the Will o'-the Wisps around the swamps, and PRETEND TO BE stars-the people then call them idealists,--often struggling with protracted disgust, with an ever reappearing phantom of disbelief, which makes them cold, and obliges them to languish for GLORIA and devour "faith as it is" out of the hands of intoxicated adulators:--what a TORMENT these great artists are and the so-called higher men in general, to him who has once found them out!	false	2353.95	2411.91	17
422_122949_000014_000010	It is thus conceivable that it is just from woman--who is clairvoyant in the world of suffering, and also unfortunately eager to help and save to an extent far beyond her powers--that THEY have learnt so readily those outbreaks of boundless devoted SYMPATHY, which the multitude, above all the reverent multitude, do not understand, and overwhelm with prying and self-gratifying interpretations.	It is thus conceivable that it is just from woman-who is clairvoyant in the world of suffering, and also unfortunately eager to help and save to an extent far beyond her powers-that THEY have learnt so readily those outbreaks of boundless devoted SYMPATHY, which the multitude, above all the reverent multitude, do not understand, and overwhelm with prying and self gratifying interpretations.	false	2411.91	2437.2	18.490362
422_122949_000014_000011	This sympathizing invariably deceives itself as to its power; woman would like to believe that love can do EVERYTHING--it is the SUPERSTITION peculiar to her.	This sympathizing invariably deceives itself as to its power; woman would like to believe that love can do EVERYTHING-it is the SUPERSTITION peculiar to her.	false	2437.2	2446.53	14
