3000_15664_000000_000000	In the afternoon we reached Strawberry Valley and fell asleep.	In the afternoon we reached Strawberry Valley and fell asleep.	false	0	2.43	21.97168
3000_15664_000022_000002	When the Yosemite Indians made raids on the settlers of the lower Merced, they withdrew with their spoils into Yosemite Valley; and the Modocs boasted that in case of war they had a stone house into which no white man could come as long as they cared to defend it.	When the Yosemite Indians made raids on the settlers of the lower Merced, they withdrew with their spoils into Yosemite Valley; and the Modocs boasted that in case of war they had a stone house into which no white man could come as long as they cared to defend it.	false	1153.91	1169.77	21.929369
3000_15664_000022_000003	Yosemite was not held for a single day against the pursuing troops; but the Modocs held their fort for months, until, weary of being hemmed in, they chose to withdraw.	Yosemite was not held for a single day against the pursuing troops; but the Modocs held their fort for months, until, weary of being hemmed in, they chose to withdraw.	true	1170.14	1181.5	21.16333
3000_15664_000023_000000	It consists of numerous redoubts formed by the unequal subsidence of portions of the lava flow, and a complicated network of redans abundantly supplied with salient and re-entering angles, being united each to the other and to the redoubts by a labyrinth of open and covered corridors, some of which expand at intervals into spacious caverns, forming as a whole the most complete natural Gibraltar I ever saw.	It consists of numerous redoubts formed by the unequal subsidence of portions of the lava flow, and a complicated network of redans abundantly supplied with salient and re entering angles, being united each to the other and to the redoubts by a labyrinth of open and covered corridors, some of which expand at intervals into spacious caverns, forming as a whole the most complete natural Gibraltar I ever saw.	false	1181.93	1210.54	22.934824
3000_15664_000023_000001	Other castles scarcely less strong are connected with this by subterranean passages known only to the Indians, while the unnatural blackness of the rock out of which Nature has constructed these defenses, and the weird, inhuman physiognomy of the whole region are well calculated to inspire terror.	Other castles scarcely less strong are connected with this by subterranean passages known only to the Indians, while the unnatural blackness of the rock out of which Nature has constructed these defenses, and the weird, inhuman physiognomy of the whole region are well calculated to inspire terror.	true	1210.76	1230.82	25.283983
3000_15664_000024_000000	Deadly was the task of storming such a place.	Deadly was the task of storming such a place.	true	1231.52	1234.36	24.316597
3000_15664_000024_000001	The breech-loading rifles of the Indians thrust through chinks between the rocks were ready to pick off every soldier who showed himself for a moment, while the Indians lay utterly invisible.	The breech loading rifles of the Indians thrust through chinks between the rocks were ready to pick off every soldier who showed himself for a moment, while the Indians lay utterly invisible.	false	1234.76	1246.18	22.399693
3000_15664_000024_000002	They were familiar with byways both over and under ground, and could at any time sink suddenly out of sight like squirrels among the loose boulders.	They were familiar with byways both over and under ground, and could at any time sink suddenly out of sight like squirrels among the loose boulders.	true	1246.79	1256.08	21.909628
3000_15664_000024_000003	Our bewildered soldiers heard them shooting, now before, now behind them, as they glided from place to place through fissures and subterranean passes, all the while as invisible as Gyges wearing his magic ring.	Our bewildered soldiers heard them shooting, now before, now behind them, as they glided from place to place through fissures and subterranean passes, all the while as invisible as Gyges wearing his magic ring.	false	1256.45	1270.06	21.90552
3000_15664_000024_000004	To judge from the few I have seen, Modocs are not very amiable-looking people at best.	To judge from the few I have seen, Modocs are not very amiable looking people at best.	true	1270.49	1276.09	25.16991
3000_15664_000024_000005	When, therefore, they were crawling stealthily in the gloomy caverns, unkempt and begrimed and with the glare of war in their eyes, they must have seemed very demons of the volcanic pit.	When, therefore, they were crawling stealthily in the gloomy caverns, unkempt and begrimed and with the glare of war in their eyes, they must have seemed very demons of the volcanic pit.	true	1276.52	1289.71	23.113644
3000_15664_000025_000000	Captain Jack's cave is one of the many somber cells of the castle.	Captain Jack's cave is one of the many somber cells of the castle.	true	1291.1	1295.05	20.445461
3000_15664_000025_000001	It measures twenty-five or thirty feet in diameter at the entrance, and extends but a short distance in a horizontal direction.	It measures twenty five or thirty feet in diameter at the entrance, and extends but a short distance in a horizontal direction.	true	1295.33	1303.48	24.568516
3000_15664_000025_000002	The floor is littered with the bones of the animals slaughtered for food during the war.	The floor is littered with the bones of the animals slaughtered for food during the war.	true	1304.09	1308.97	21.849497
3000_15664_000025_000003	Some eager archaeologist may hereafter discover this cabin and startle his world by announcing another of the Stone Age caves.	Some eager archaeologist may hereafter discover this cabin and startle his world by announcing another of the Stone Age caves.	true	1309.37	1316.68	16
3000_15664_000025_000004	The sun shines freely into its mouth, and graceful bunches of grass and eriogonums and sage grow about it, doing what they can toward its redemption from degrading associations and making it beautiful.	The sun shines freely into its mouth, and graceful bunches of grass and eriogonums and sage grow about it, doing what they can toward its redemption from degrading associations and making it beautiful.	true	1317.32	1330.21	22.554953
3000_15664_000026_000000	Where the lava meets the lake there are some fine curving bays, beautifully embroidered with rushes and polygonums, a favorite resort of waterfowl.	Where the lava meets the lake there are some fine curving bays, beautifully embroidered with rushes and polygonums, a favorite resort of waterfowl.	false	1330.91	1341.25	22.135563
3000_15664_000026_000001	On our return, keeping close along shore, we caused a noisy plashing and beating of wings among cranes and geese.	On our return, keeping close along shore, we caused a noisy plashing and beating of wings among cranes and geese.	true	1341.65	1349.32	21.44724
3000_15664_000026_000002	The ducks, less wary, kept their places, merely swimming in and out through openings in the rushes, rippling the glassy water, and raising spangles in their wake.	The ducks, less wary, kept their places, merely swimming in and out through openings in the rushes, rippling the glassy water, and raising spangles in their wake.	true	1349.75	1360.33	21.370363
3000_15664_000026_000003	The countenance of the lava beds became less and less forbidding. Tufts of pale grasses, relieved on the jet rocks, looked like ornaments on a mantel, thick-furred mats of emerald mosses appeared in damp spots next the shore, and I noticed one tuft of small ferns.	The countenance of the lava beds became less and less forbidding. Tufts of pale grasses, relieved on the jet rocks, looked like ornaments on a mantel, thick furred mats of emerald mosses appeared in damp spots next the shore, and I noticed one tuft of small ferns.	false	1360.73	1379.38	23.408958
3000_15664_000026_000004	From year to year in the kindly weather the beds are thus gathering beauty--beauty for ashes.	From year to year in the kindly weather the beds are thus gathering beauty-beauty for ashes.	true	1379.87	1386.28	22.784636
3000_15664_000027_000000	Returning to Sheep Rock and following the old emigrant road, one is soon back again beneath the snows and shadows of Shasta, and the Ash Creek and McCloud Glaciers come into view on the east side of the mountain. They are broad, rugged, crevassed cloudlike masses of down-grinding ice, pouring forth streams of muddy water as measures of the work they are doing in sculpturing the rocks beneath them; very unlike the long, majestic glaciers of Alaska that riverlike go winding down the valleys through the forests to the sea.	Returning to Sheep Rock and following the old emigrant road, one is soon back again beneath the snows and shadows of Shasta, and the Ash Creek and McCloud Glaciers come into view on the east side of the mountain. They are broad, rugged, crevassed cloudlike masses of down grinding ice, pouring forth streams of muddy water as measures of the work they are doing in sculpturing the rocks beneath them; very unlike the long, majestic glaciers of Alaska that riverlike go winding down the valleys through the forests to the sea.	false	1386.5	1421.47	23.999153
3000_15664_000027_000001	These, with a few others as yet nameless, are lingering remnants of once great glaciers that occupied the canyons now taken by the rivers, and in a few centuries will, under present conditions, vanish altogether.	These, with a few others as yet nameless, are lingering remnants of once great glaciers that occupied the canyons now taken by the rivers, and in a few centuries will, under present conditions, vanish altogether.	true	1421.84	1436.89	22.72486
3000_15664_000028_000000	The rivers of the granite south half of the Sierra are outspread on the peaks in a shining network of small branches, that divide again and again into small dribbling, purling, oozing threads drawing their sources from the snow and ice of the surface.	The rivers of the granite south half of the Sierra are outspread on the peaks in a shining network of small branches, that divide again and again into small dribbling, purling, oozing threads drawing their sources from the snow and ice of the surface.	true	1437.14	1454.98	23.911217
3000_15664_000028_000001	They seldom sink out of sight, save here and there in the moraines or glaciers, or, early in the season, beneath the banks and bridges of snow, soon to issue again. But in the north half, laden with rent and porous lava, small tributary streams are rare, and the rivers, flowing for a time beneath the sky of rock, at length burst forth into the light in generous volume from seams and caverns, filtered, cool, and sparkling, as if their bondage in darkness, safe from the vicissitudes of the weather in their youth, were only a blessing.	They seldom sink out of sight, save here and there in the moraines or glaciers, or, early in the season, beneath the banks and bridges of snow, soon to issue again. But in the north half, laden with rent and porous lava, small tributary streams are rare, and the rivers, flowing for a time beneath the sky of rock, at length burst forth into the light in generous volume from seams and caverns, filtered, cool, and sparkling, as if their bondage in darkness, safe from the vicissitudes of the weather in their youth, were only a blessing.	false	1455.38	1492.78	22.25653
3000_15664_000029_000000	Only a very small portion of the water derived from the melting ice and snow of Shasta flows down its flanks on the surface.	Only a very small portion of the water derived from the melting ice and snow of Shasta flows down its flanks on the surface.	true	1493.03	1501.09	20.761189
3000_15664_000029_000001	Probably ninety-nine per cent of it is at once absorbed and drained away beneath the porous lava-folds of the mountain to gush forth, filtered and pure, in the form of immense springs, so large, some of them, that they give birth to rivers that start on their journey beneath the sun, full-grown and perfect without any childhood.	Probably ninety nine per cent of it is at once absorbed and drained away beneath the porous lava folds of the mountain to gush forth, filtered and pure, in the form of immense springs, so large, some of them, that they give birth to rivers that start on their journey beneath the sun, full grown and perfect without any childhood.	true	1501.28	1524.91	21.994127
3000_15664_000029_000002	Thus the Shasta River issues from a large lake-like spring in Shasta Valley, and about two thirds of the volume of the McCloud gushes forth in a grand spring on the east side of the mountain, a few miles back from its immediate base.	Thus the Shasta River issues from a large lake like spring in Shasta Valley, and about two thirds of the volume of the McCloud gushes forth in a grand spring on the east side of the mountain, a few miles back from its immediate base.	true	1525.34	1540.69	22.120018
3000_15664_000030_000000	To find the big spring of the McCloud, or "Mud Glacier," which you will know by its size (it being the largest on the east side), you make your way through sunny, parklike woods of yellow pine, and a shaggy growth of chaparral, and come in a few hours to the river flowing in a gorge of moderate depth, cut abruptly down into the lava plain.	To find the big spring of the McCloud, or "Mud Glacier," which you will know by its size (it being the largest on the east side), you make your way through sunny, parklike woods of yellow pine, and a shaggy growth of chaparral, and come in a few hours to the river flowing in a gorge of moderate depth, cut abruptly down into the lava plain.	false	1541.18	1565.59	22.367767
3000_15664_000030_000001	Should the volume of the stream where you strike it seem small, then you will know that you are above the spring; if large, nearly equal to its volume at its confluence with the Pitt River, then you are below it; and in either case have only to follow the river up or down until you come to it.	Should the volume of the stream where you strike it seem small, then you will know that you are above the spring; if large, nearly equal to its volume at its confluence with the Pitt River, then you are below it; and in either case have only to follow the river up or down until you come to it.	true	1566.17	1585.12	21.712368
3000_15664_000031_000000	Under certain conditions you may hear the roar of the water rushing from the rock at a distance of half a mile, or even more; or you may not hear it until within a few rods.	Under certain conditions you may hear the roar of the water rushing from the rock at a distance of half a mile, or even more; or you may not hear it until within a few rods.	true	1586	1597.78	21.846022
3000_15664_000031_000001	It comes in a grand, eager gush from a horizontal seam in the face of the wall of the river gorge in the form of a partially interrupted sheet nearly seventy-five yards in width, and at a height above the riverbed of about forty feet, as nearly as I could make out without the means of exact measurement.	It comes in a grand, eager gush from a horizontal seam in the face of the wall of the river gorge in the form of a partially interrupted sheet nearly seventy five yards in width, and at a height above the riverbed of about forty feet, as nearly as I could make out without the means of exact measurement.	true	1597.97	1618.48	21.957148
3000_15664_000031_000002	For about fifty yards this flat current is in one unbroken sheet, and flows in a lacework of plashing, upleaping spray over boulders that are clad in green silky algae and water mosses to meet the smaller part of the river, which takes its rise farther up.	For about fifty yards this flat current is in one unbroken sheet, and flows in a lacework of plashing, upleaping spray over boulders that are clad in green silky algae and water mosses to meet the smaller part of the river, which takes its rise farther up.	false	1618.7	1638.13	24.548613
3000_15664_000031_000003	Joining the river at right angles to its course, it at once swells its volume to three times its size above the spring.	Joining the river at right angles to its course, it at once swells its volume to three times its size above the spring.	true	1638.62	1646.8	19.180742
3000_15664_000032_000000	The vivid green of the boulders beneath the water is very striking, and colors the entire stream with the exception of the portions broken into foam.	The vivid green of the boulders beneath the water is very striking, and colors the entire stream with the exception of the portions broken into foam.	true	1647.11	1656.73	22.99592
3000_15664_000032_000001	The color is chiefly due to a species of algae which seems common in springs of this sort.	The color is chiefly due to a species of algae which seems common in springs of this sort.	true	1657.28	1663.27	23.685942
3000_15664_000032_000002	That any kind of plant can hold on and grow beneath the wear of so boisterous a current seems truly wonderful, even after taking into consideration the freedom of the water from cutting drift, and the constance of its volume and temperature throughout the year.	That any kind of plant can hold on and grow beneath the wear of so boisterous a current seems truly wonderful, even after taking into consideration the freedom of the water from cutting drift, and the constance of its volume and temperature throughout the year.	true	1663.7	1679.35	23.96837
3000_15664_000032_000003	The temperature is about 45 degrees, and the height of the river above the sea is here about three thousand feet.	The temperature is about forty five degrees, and the height of the river above the sea is here about three thousand feet.	true	1679.9	1688.56	21.433815
3000_15664_000032_000004	Asplenium, epilobium, heuchera, hazel, dogwood, and alder make a luxurious fringe and setting; and the forests of Douglas spruce along the banks are the finest I have ever seen in the Sierra.	Asplenium, epilobium, heuchera, hazel, dogwood, and alder make a luxurious fringe and setting; and the forests of Douglas spruce along the banks are the finest I have ever seen in the Sierra.	false	1688.57	1704.25	22.267948
3000_15664_000033_000000	From the spring you may go with the river--a fine traveling companion--down to the sportsman's fishing station, where, if you are getting hungry, you may replenish your stores; or, bearing off around the mountain by Huckleberry Valley, complete your circuit without interruption, emerging at length from beneath the outspread arms of the sugar pine at Strawberry Valley, with all the new wealth and health gathered in your walk; not tired in the least, and only eager to repeat the round.	From the spring you may go with the river-a fine traveling companion-down to the sportsman's fishing station, where, if you are getting hungry, you may replenish your stores; or, bearing off around the mountain by Huckleberry Valley, complete your circuit without interruption, emerging at length from beneath the outspread arms of the sugar pine at Strawberry Valley, with all the new wealth and health gathered in your walk; not tired in the least, and only eager to repeat the round.	true	1704.62	1735.27	22.93923
3000_15664_000034_000000	Tracing rivers to their fountains makes the most charming of travels. As the life-blood of the landscapes, the best of the wilderness comes to their banks, and not one dull passage is found in all their eventful histories.	Tracing rivers to their fountains makes the most charming of travels. As the life blood of the landscapes, the best of the wilderness comes to their banks, and not one dull passage is found in all their eventful histories.	true	1735.97	1750.33	22.664019
3000_15664_000034_000001	Tracing the McCloud to its highest springs, and over the divide to the fountains of Fall River, near Fort Crook, thence down that river to its confluence with the Pitt, on from there to the volcanic region about Lassen's Butte, through the Big Meadows among the sources of the Feather River, and down through forests of sugar pine to the fertile plains of Chico--this is a glorious saunter and imposes no hardship.	Tracing the McCloud to its highest springs, and over the divide to the fountains of Fall River, near Fort Crook, thence down that river to its confluence with the Pitt, on from there to the volcanic region about Lassen's Butte, through the Big Meadows among the sources of the Feather River, and down through forests of sugar pine to the fertile plains of Chico-this is a glorious saunter and imposes no hardship.	true	1750.88	1779.16	22.73189
3000_15664_000034_000002	Food may be had at moderate intervals, and the whole circuit forms one ever-deepening, broadening stream of enjoyment.	Food may be had at moderate intervals, and the whole circuit forms one ever deepening, broadening stream of enjoyment.	true	1779.35	1787.11	21.803818
3000_15664_000035_000000	Fall River is a very remarkable stream.	Fall River is a very remarkable stream.	true	1787.9	1790.98	23.806108
3000_15664_000035_000001	It is only about ten miles long, and is composed of springs, rapids, and falls--springs beautifully shaded at one end of it, a showy fall one hundred and eighty feet high at the other, and a rush of crystal rapids between.	It is only about ten miles long, and is composed of springs, rapids, and falls-springs beautifully shaded at one end of it, a showy fall one hundred and eighty feet high at the other, and a rush of crystal rapids between.	true	1791.17	1805.74	22.215782
3000_15664_000035_000002	The banks are fringed with rubus, rose, plum cherry, spiraea, azalea, honeysuckle, hawthorn, ash, alder, elder, aster, goldenrod, beautiful grasses, sedges, rushes, mosses, and ferns with fronds as large as the leaves of palms--all in the midst of a richly forested landscape.	The banks are fringed with rubus, rose, plum cherry, spiraea, azalea, honeysuckle, hawthorn, ash, alder, elder, aster, goldenrod, beautiful grasses, sedges, rushes, mosses, and ferns with fronds as large as the leaves of palms-all in the midst of a richly forested landscape.	true	1806.26	1832.86	22.109146
3000_15664_000035_000003	Nowhere within the limits of California are the forests of yellow pine so extensive and exclusive as on the headwaters of the Pitt.	Nowhere within the limits of California are the forests of yellow pine so extensive and exclusive as on the headwaters of the Pitt.	true	1833.11	1842.13	24.837141
3000_15664_000035_000004	They cover the mountains and all the lower slopes that border the wide, open valleys which abound there, pressing forward in imposing ranks, seemingly the hardiest and most firmly established of all the northern coniferae.	They cover the mountains and all the lower slopes that border the wide, open valleys which abound there, pressing forward in imposing ranks, seemingly the hardiest and most firmly established of all the northern coniferae.	true	1842.5	1856.35	21
3000_15664_000036_000000	The volcanic region about Lassen's Butte I have already in part described.	The volcanic region about Lassen's Butte I have already in part described.	true	1857.14	1861.81	22.063831
3000_15664_000036_000001	Miles of its flanks are dotted with hot springs, many of them so sulphurous and boisterous and noisy in their boiling that they seem inclined to become geysers like those of the Yellowstone.	Miles of its flanks are dotted with hot springs, many of them so sulphurous and boisterous and noisy in their boiling that they seem inclined to become geysers like those of the Yellowstone.	true	1862	1873.78	20.207195
3000_15664_000037_000000	The ascent of Lassen's Butte is an easy walk, and the views from the summit are extremely telling.	The ascent of Lassen's Butte is an easy walk, and the views from the summit are extremely telling.	false	1874.18	1880.17	23.432766
3000_15664_000037_000001	Innumerable lakes and craters surround the base; forests of the charming Williamson spruce fringe lake and crater alike; the sunbeaten plains to east and west make a striking show, and the wilderness of peaks and ridges stretch indefinitely away on either hand.	Innumerable lakes and craters surround the base; forests of the charming Williamson spruce fringe lake and crater alike; the sunbeaten plains to east and west make a striking show, and the wilderness of peaks and ridges stretch indefinitely away on either hand.	false	1880.54	1898.95	22.534422
3000_15664_000037_000002	The lofty, icy Shasta, towering high above all, seems but an hour's walk from you, though the distance in an air-line is about sixty miles.	The lofty, icy Shasta, towering high above all, seems but an hour's walk from you, though the distance in an air line is about sixty miles.	true	1899.38	1908.76	22.271765
3000_15664_000038_000000	The "Big Meadows" lie near the foot of Lassen's Butte, a beautiful spacious basin set in the heart of the richly forested mountains, scarcely surpassed in the grandeur of its surroundings by Tahoe.	The "Big Meadows" lie near the foot of Lassen's Butte, a beautiful spacious basin set in the heart of the richly forested mountains, scarcely surpassed in the grandeur of its surroundings by Tahoe.	true	1909.4	1922.71	22.68518
3000_15664_000038_000001	During the Glacial Period it was a mer de glace, then a lake, and now a level meadow shining with bountiful springs and streams.	During the Glacial Period it was a mer de glace, then a lake, and now a level meadow shining with bountiful springs and streams.	true	1923.29	1932.46	21.740465
3000_15664_000038_000002	In the number and size of its big spring fountains it excels even Shasta.	In the number and size of its big spring fountains it excels even Shasta.	true	1932.86	1938.19	21.694391
3000_15664_000038_000003	One of the largest that I measured forms a lakelet nearly a hundred yards in diameter, and, in the generous flood it sends forth offers one of the most telling symbols of Nature's affluence to be found in the mountains.	One of the largest that I measured forms a lakelet nearly a hundred yards in diameter, and, in the generous flood it sends forth offers one of the most telling symbols of Nature's affluence to be found in the mountains.	true	1938.59	1952.77	20.011732
3000_15664_000039_000000	The great wilds of our country, once held to be boundless and inexhaustible, are being rapidly invaded and overrun in every direction, and everything destructible in them is being destroyed.	The great wilds of our country, once held to be boundless and inexhaustible, are being rapidly invaded and overrun in every direction, and everything destructible in them is being destroyed.	true	1953.2	1965.64	24.103369
3000_15664_000039_000001	How far destruction may go it is not easy to guess.	How far destruction may go it is not easy to guess.	true	1966.1	1969.63	23.113297
3000_15664_000039_000002	Every landscape, low and high, seems doomed to be trampled and harried.	Every landscape, low and high, seems doomed to be trampled and harried.	true	1970.12	1975.09	24.634172
3000_15664_000039_000003	Even the sky is not safe from scath--blurred and blackened whole summers together with the smoke of fires that devour the woods.	Even the sky is not safe from scath-blurred and blackened whole summers together with the smoke of fires that devour the woods.	true	1975.52	1983.31	22.542782
3000_15664_000040_000000	The Shasta region is still a fresh unspoiled wilderness, accessible and available for travelers of every kind and degree.	The Shasta region is still a fresh unspoiled wilderness, accessible and available for travelers of every kind and degree.	true	1984.04	1992.49	22.224968
3000_15664_000040_000001	Would it not then be a fine thing to set it apart like the Yellowstone and Yosemite as a National Park for the welfare and benefit of all mankind, preserving its fountains and forests and all its glad life in primeval beauty? Very little of the region can ever be more valuable for any other use--certainly not for gold nor for grain.	Would it not then be a fine thing to set it apart like the Yellowstone and Yosemite as a National Park for the welfare and benefit of all mankind, preserving its fountains and forests and all its glad life in primeval beauty? Very little of the region can ever be more valuable for any other use-certainly not for gold nor for grain.	true	1992.98	2015.59	22.82768
3000_15664_000040_000002	No private right or interest need suffer, and thousands yet unborn would come from far and near and bless the country for its wise and benevolent forethought.	No private right or interest need suffer, and thousands yet unborn would come from far and near and bless the country for its wise and benevolent forethought.	false	2015.78	2040.15	23.188072
