1673_143397_000000_000000	[Footnote 22: A grammarian is named by Socrates (l. vii.	[Footnote twenty two: A grammarian is named by Socrates (l. vii.	false	0.51	2.64	19
1673_143397_000017_000004	p. 276--280) has detected the use, which, in the ivth, vth, and vith centuries, discriminates the school of Diodorus of Tarsus and his Nestorian disciples.]	p. two hundred seventy six-minus two hundred eighty) has detected the use, which, in the i v t h, v t h, and vith centuries, discriminates the school of Diodorus of Tarsus and his Nestorian disciples.]	false	675.99	688.8	21.971403
1673_143397_000018_000000	[Footnote 34: Deipara; as in zoology we familiarly speak of oviparous and viviparous animals.	[Footnote thirty four: Deipara; as in zoology we familiarly speak of oviparous and viviparous animals.	false	688.8	693.54	23.614658
1673_143397_000018_000001	It is not easy to fix the invention of this word, which La Croze (Christianisme des Indes, tom.	It is not easy to fix the invention of this word, which La Croze (Christianisme des Indes, tom.	false	693.54	698.88	21.530949
1673_143397_000018_000002	i.	i.	false	698.88	699.18	5
1673_143397_000018_000003	p. 16) ascribes to Eusebius of Caesarea and the Arians.	p. sixteen) ascribes to Eusebius of Caesarea and the Arians.	false	699.18	702.09	21.012455
1673_143397_000018_000004	The orthodox testimonies are produced by Cyril and Petavius, (Dogmat.	The orthodox testimonies are produced by Cyril and Petavius, (Dogmat.	false	702.09	704.31	19.92414
1673_143397_000018_000005	Theolog.	Theolog.	false	704.31	704.52	27
1673_143397_000018_000006	tom. v.	tom. v.	false	704.52	705	20.09809
1673_143397_000018_000007	l.	l.	false	705	705.21	9
1673_143397_000018_000008	v.	v.	false	705.21	705.45	16
1673_143397_000018_000009	c.	c.	false	705.45	705.69	16
1673_143397_000018_000010	15, p. 254, &c.;) but the veracity of the saint is questionable, and the epithet so easily slides from the margin to the text of a Catholic Ms]	fifteen, p. two hundred fifty four, and c.winking face  but the veracity of the saint is questionable, and the epithet so easily slides from the margin to the text of a Catholic Ms]	false	705.69	714.09	22.245895
1673_143397_000019_000000	[Footnote 35: Basnage, in his Histoire de l'Eglise, a work of controversy, (tom l.	[Footnote thirty five: Basnage, in his Histoire de l'Eglise, a work of controversy, (tom l.	false	714.09	718.83	22.104376
1673_143397_000019_000001	p. 505,) justifies the mother, by the blood, of God, (Acts, xx.	p. five hundred five,) justifies the mother, by the blood, of God, (Acts, x x.	false	718.83	724.23	20.522726
1673_143397_000019_000002	28, with Mill's various readings.) But the Greek Mss. are far from unanimous; and the primitive style of the blood of Christ is preserved in the Syriac version, even in those copies which were used by the Christians of St. Thomas on the coast of Malabar, (La Croze, Christianisme des Indes, tom.	twenty eight, with Mill's various readings.) But the Greek m s's. are far from unanimous; and the primitive style of the blood of Christ is preserved in the Syriac version, even in those copies which were used by the Christians of saint Thomas on the coast of Malabar, (La Croze, Christianisme des Indes, tom.	false	724.23	741.63	21.614122
1673_143397_000019_000003	i.	i.	false	741.63	741.9	1
1673_143397_000019_000004	p. 347.) The jealousy of the Nestorians and Monophysites has guarded the purity of their text.]	p. three hundred forty seven.) The jealousy of the Nestorians and Monophysites has guarded the purity of their text.]	false	741.9	744.03	21.796293
1673_143397_000020_000000	[Footnote 36: The Pagans of Egypt already laughed at the new Cybele of the Christians, (Isidor. l.	[Footnote thirty six: The Pagans of Egypt already laughed at the new Cybele of the Christians, (Isidor. l.	false	744.03	744.03	
1673_143397_000020_000001	i.	i.	false	744.03	744.03	
1673_143397_000020_000002	epist.	epist.	false	744.03	744.03	
1673_143397_000020_000003	54;) a letter was forged in the name of Hypatia, to ridicule the theology of her assassin, (Synodicon, c.	fifty four winking face  a letter was forged in the name of Hypatia, to ridicule the theology of her assassin, (Synodicon, c.	false	744.03	744.03	
1673_143397_000020_000004	216, in iv.	two hundred sixteen, in i v.	false	744.03	744.03	
1673_143397_000020_000005	tom.	tom.	false	744.03	744.03	
1673_143397_000020_000006	Concil.	Concil.	false	744.03	744.03	
1673_143397_000020_000007	p. 484.) In the article of Nestorius, Bayle has scattered some loose philosophy on the worship of the Virgin Mary.]	p. four hundred eighty four.) In the article of Nestorius, Bayle has scattered some loose philosophy on the worship of the Virgin Mary.]	false	744.03	744.03	
1673_143397_000021_000000	[Footnote 37: The item of the Greeks, a mutual loan or transfer of the idioms or properties of each nature to the other--of infinity to man, passibility to God, &c. Twelve rules on this nicest of subjects compose the Theological Grammar of Petavius, (Dogmata Theolog. tom.	[Footnote thirty seven: The item of the Greeks, a mutual loan or transfer of the idioms or properties of each nature to the other-of infinity to man, passibility to God, and c. Twelve rules on this nicest of subjects compose the Theological Grammar of Petavius, (Dogmata Theolog. tom.	false	744.03	744.03	
1673_143397_000021_000001	v.	v.	false	744.03	744.03	
1673_143397_000021_000002	l.	l.	false	744.03	744.03	
1673_143397_000021_000003	iv.	i v.	false	744.03	744.03	
1673_143397_000021_000004	c. 14, 15, p 209, &c.)]	c. fourteen, fifteen, p two hundred nine, and c.)]	false	744.03	744.03	
1673_143397_000022_000000	[Footnote 38: See Ducange, C. P. Christiana, l.	[Footnote thirty eight: See Ducange, c p Christiana, l.	false	744.03	744.03	
1673_143397_000022_000001	i.	i.	false	744.03	744.03	
1673_143397_000022_000002	p. 30, &c.]	p. thirty, and c.]	false	744.03	744.03	
1673_143397_000023_000000	[Footnote 39: Concil. tom.	[Footnote thirty nine: Concil. tom.	false	744.03	744.03	
1673_143397_000023_000001	iii.	iii.	false	744.03	744.03	
1673_143397_000023_000002	p. 943.	p. nine hundred forty three.	false	744.03	744.03	
1673_143397_000023_000003	They have never been directly approved by the church, (Tillemont.	They have never been directly approved by the church, (Tillemont.	false	744.03	744.63	25.451689
1673_143397_000023_000004	Mem. Eccles.	Mem. Eccles.	false	744.63	744.63	
1673_143397_000023_000005	tom. xiv.	tom. x i v.	false	744.63	744.63	
1673_143397_000023_000006	p. 368--372.) I almost pity the agony of rage and sophistry with which Petavius seems to be agitated in the vith book of his Dogmata Theologica]	p. three hundred sixty eight-minus three hundred seventy two.) I almost pity the agony of rage and sophistry with which Petavius seems to be agitated in the vith book of his Dogmata Theologica]	false	744.63	744.63	
1673_143397_000024_000000	[Footnote 40: Such as the rational Basnage (ad tom.	[Footnote forty: Such as the rational Basnage (ad tom.	false	744.63	744.63	
1673_143397_000024_000001	i.	i.	false	744.63	744.63	
1673_143397_000024_000002	Variar.	Variar.	false	744.63	744.63	
1673_143397_000024_000003	Lection. Canisine in Praefat. c.	Lection. Canisine in Praefat. c.	false	744.63	744.63	
1673_143397_000024_000004	2, p. 11--23) and La Croze, the universal scholar, (Christianisme des Indes, tom.	two, p. eleven-minus twenty three) and La Croze, the universal scholar, (Christianisme des Indes, tom.	false	744.63	744.63	
1673_143397_000024_000005	i.	i.	false	744.63	744.63	
1673_143397_000024_000006	p. 16--20.	p. sixteen-minus twenty.	false	744.63	744.63	
1673_143397_000024_000007	De l'Ethiopie, p. 26, 27.	De l'Ethiopie, p. twenty six, twenty seven.	false	744.63	744.63	
1673_143397_000024_000008	The saur.	The saur.	false	744.63	744.63	
1673_143397_000024_000009	Epist.	Epist.	false	744.63	744.63	
1673_143397_000024_000010	p. 176, &c., 283, 285.) His free sentence is confirmed by that of his friends Jablonski (Thesaur.	p. one hundred seventy six, and c., two hundred eighty three, two hundred eighty five.) His free sentence is confirmed by that of his friends Jablonski (Thesaur.	false	744.63	744.63	
1673_143397_000024_000011	Epist. tom.	Epist. tom.	false	744.63	744.63	
1673_143397_000024_000012	i.	i.	false	744.63	744.63	
1673_143397_000024_000013	p. 193--201) and Mosheim, (idem.	p. one hundred ninety three-minus two hundred one) and Mosheim, (idem.	false	744.63	744.63	
1673_143397_000024_000014	p. 304, Nestorium crimine caruisse est et mea sententia;) and three more respectable judges will not easily be found.	p. three hundred four, Nestorium crimine caruisse est et mea sententia winking face  and three more respectable judges will not easily be found.	false	744.63	744.63	
1673_143397_000024_000015	Asseman, a learned and modest slave, can hardly discern (Bibliothec.	Asseman, a learned and modest slave, can hardly discern (Bibliothec.	false	744.63	744.63	
1673_143397_000024_000016	Orient.	Orient.	false	744.63	744.63	
1673_143397_000024_000017	tom. iv.	tom. i v.	false	744.63	744.63	
1673_143397_000024_000018	p. 190--224) the guilt and error of the Nestorians.]	p. one hundred ninety-minus two hundred twenty four) the guilt and error of the Nestorians.]	false	744.63	744.63	
1673_143397_000025_000000	Yet neither the emperor nor the primate of the East were disposed to obey the mandate of an Italian priest; and a synod of the Catholic, or rather of the Greek church, was unanimously demanded as the sole remedy that could appease or decide this ecclesiastical quarrel.	Yet neither the emperor nor the primate of the East were disposed to obey the mandate of an Italian priest; and a synod of the Catholic, or rather of the Greek church, was unanimously demanded as the sole remedy that could appease or decide this ecclesiastical quarrel.	false	744.63	744.84	100
1673_143397_000025_000001	[41] Ephesus, on all sides accessible by sea and land, was chosen for the place, the festival of Pentecost for the day, of the meeting; a writ of summons was despatched to each metropolitan, and a guard was stationed to protect and confine the fathers till they should settle the mysteries of heaven, and the faith of the earth.	[forty one] Ephesus, on all sides accessible by sea and land, was chosen for the place, the festival of Pentecost for the day, of the meeting; a writ of summons was despatched to each metropolitan, and a guard was stationed to protect and confine the fathers till they should settle the mysteries of heaven, and the faith of the earth.	false	744.84	744.84	
1673_143397_000025_000002	Nestorius appeared not as a criminal, but as a judge; he depended on the weight rather than the number of his prelates, and his sturdy slaves from the baths of Zeuxippus were armed for every service of injury or defence.	Nestorius appeared not as a criminal, but as a judge; he depended on the weight rather than the number of his prelates, and his sturdy slaves from the baths of Zeuxippus were armed for every service of injury or defence.	false	744.84	744.84	
1673_143397_000025_000003	But his adversary Cyril was more powerful in the weapons both of the flesh and of the spirit.	But his adversary Cyril was more powerful in the weapons both of the flesh and of the spirit.	false	744.84	744.84	
1673_143397_000025_000004	Disobedient to the letter, or at least to the meaning, of the royal summons, he was attended by fifty Egyptian bishops, who expected from their patriarch's nod the inspiration of the Holy Ghost.	Disobedient to the letter, or at least to the meaning, of the royal summons, he was attended by fifty Egyptian bishops, who expected from their patriarch's nod the inspiration of the Holy Ghost.	false	744.84	744.84	
1673_143397_000025_000005	He had contracted an intimate alliance with Memnon, bishop of Ephesus.	He had contracted an intimate alliance with Memnon, bishop of Ephesus.	false	744.84	744.84	
1673_143397_000025_000006	The despotic primate of Asia disposed of the ready succors of thirty or forty episcopal votes: a crowd of peasants, the slaves of the church, was poured into the city to support with blows and clamors a metaphysical argument; and the people zealously asserted the honor of the Virgin, whose body reposed within the walls of Ephesus. [42] The fleet which had transported Cyril from Alexandria was laden with the riches of Egypt; and he disembarked a numerous body of mariners, slaves, and fanatics, enlisted with blind obedience under the banner of St. Mark and the mother of God.	The despotic primate of Asia disposed of the ready succors of thirty or forty episcopal votes: a crowd of peasants, the slaves of the church, was poured into the city to support with blows and clamors a metaphysical argument; and the people zealously asserted the honor of the Virgin, whose body reposed within the walls of Ephesus. [forty two] The fleet which had transported Cyril from Alexandria was laden with the riches of Egypt; and he disembarked a numerous body of mariners, slaves, and fanatics, enlisted with blind obedience under the banner of saint Mark and the mother of God.	false	744.84	767.32	21.212132
1673_143397_000025_000007	The fathers, and even the guards, of the council were awed by this martial array; the adversaries of Cyril and Mary were insulted in the streets, or threatened in their houses; his eloquence and liberality made a daily increase in the number of his adherents; and the Egyptian soon computed that he might command the attendance and the voices of two hundred bishops.	The fathers, and even the guards, of the council were awed by this martial array; the adversaries of Cyril and Mary were insulted in the streets, or threatened in their houses; his eloquence and liberality made a daily increase in the number of his adherents; and the Egyptian soon computed that he might command the attendance and the voices of two hundred bishops.	false	767.78	786.36	21.592524
1673_143397_000025_000008	[43] But the author of the twelve anathemas foresaw and dreaded the opposition of John of Antioch, who, with a small, but respectable, train of metropolitans and divines, was advancing by slow journeys from the distant capital of the East.	[forty three] But the author of the twelve anathemas foresaw and dreaded the opposition of john of Antioch, who, with a small, but respectable, train of metropolitans and divines, was advancing by slow journeys from the distant capital of the East.	false	786.36	799.48	21.366894
1673_143397_000025_000009	Impatient of a delay, which he stigmatized as voluntary and culpable, [44] Cyril announced the opening of the synod sixteen days after the festival of Pentecost.	Impatient of a delay, which he stigmatized as voluntary and culpable, [forty four] Cyril announced the opening of the synod sixteen days after the festival of Pentecost.	false	799.88	809.11	21.423618
1673_143397_000025_000010	Nestorius, who depended on the near approach of his Eastern friends, persisted, like his predecessor Chrysostom, to disclaim the jurisdiction, and to disobey the summons, of his enemies: they hastened his trial, and his accuser presided in the seat of judgment.	Nestorius, who depended on the near approach of his Eastern friends, persisted, like his predecessor Chrysostom, to disclaim the jurisdiction, and to disobey the summons, of his enemies: they hastened his trial, and his accuser presided in the seat of judgment.	true	809.42	823.33	22.61544
1673_143397_000025_000011	Sixty-eight bishops, twenty-two of metropolitan rank, defended his cause by a modest and temperate protest: they were excluded from the councils of their brethren.	Sixty eight bishops, twenty two of metropolitan rank, defended his cause by a modest and temperate protest: they were excluded from the councils of their brethren.	true	823.61	832.57	23.980078
1673_143397_000025_000012	Candidian, in the emperor's name, requested a delay of four days; the profane magistrate was driven with outrage and insult from the assembly of the saints.	Candidian, in the emperor's name, requested a delay of four days; the profane magistrate was driven with outrage and insult from the assembly of the saints.	true	832.94	841.78	21.35517
1673_143397_000025_000013	The whole of this momentous transaction was crowded into the compass of a summer's day: the bishops delivered their separate opinions; but the uniformity of style reveals the influence or the hand of a master, who has been accused of corrupting the public evidence of their acts and subscriptions.	The whole of this momentous transaction was crowded into the compass of a summer's day: the bishops delivered their separate opinions; but the uniformity of style reveals the influence or the hand of a master, who has been accused of corrupting the public evidence of their acts and subscriptions.	true	842.27	856.89	22.719078
1673_143397_000025_000014	[45] Without a dissenting voice, they recognized in the epistles of Cyril the Nicene creed and the doctrine of the fathers: but the partial extracts from the letters and homilies of Nestorius were interrupted by curses and anathemas: and the heretic was degraded from his episcopal and ecclesiastical dignity. The sentence, maliciously inscribed to the new Judas, was affixed and proclaimed in the streets of Ephesus: the weary prelates, as they issued from the church of the mother of God, were saluted as her champions; and her victory was celebrated by the illuminations, the songs, and the tumult of the night.	[forty five] Without a dissenting voice, they recognized in the epistles of Cyril the Nicene creed and the doctrine of the fathers: but the partial extracts from the letters and homilies of Nestorius were interrupted by curses and anathemas: and the heretic was degraded from his episcopal and ecclesiastical dignity. The sentence, maliciously inscribed to the new Judas, was affixed and proclaimed in the streets of Ephesus: the weary prelates, as they issued from the church of the mother of God, were saluted as her champions; and her victory was celebrated by the illuminations, the songs, and the tumult of the night.	false	856.89	890.19	22.97255
1673_143397_000026_000000	[Footnote 41: The origin and progress of the Nestorian controversy, till the synod of Ephesus, may be found in Socrates, (l. vii.	[Footnote forty one: The origin and progress of the Nestorian controversy, till the synod of Ephesus, may be found in Socrates, (l. vii.	false	890.19	890.25	-20
1673_143397_000026_000001	c.	c.	false	890.25	890.25	
1673_143397_000026_000002	32,) Evagrius, (l. i.	thirty two,) Evagrius, (l. i.	false	890.25	890.25	
1673_143397_000026_000003	c.	c.	false	890.25	890.25	
1673_143397_000026_000004	1, 2,) Liberatus, (Brev. c.	one, two,) Liberatus, (Brev. c.	false	890.25	890.28	-20
1673_143397_000026_000005	1--4,) the original Acts, (Concil. tom.	one-minus four,) the original Acts, (Concil. tom.	false	890.28	890.31	-20
1673_143397_000026_000006	iii.	iii.	false	890.31	890.31	
1673_143397_000026_000007	p. 551--991, edit.	p. five hundred fifty one-minus nine hundred ninety one, edit.	false	890.31	890.34	-20
1673_143397_000026_000008	Venice, 1728,) the Annals of Baronius and Pagi, and the faithful collections of Tillemont, (Mem. Eccles. tom. xiv p. 283--377.)]	Venice, seventeen twenty eight,) the Annals of Baronius and Pagi, and the faithful collections of Tillemont, (Mem. Eccles. tom. x i v p. two hundred eighty three-minus three hundred seventy seven.)]	false	890.34	890.43	-10
1673_143397_000027_000000	[Footnote 42: The Christians of the four first centuries were ignorant of the death and burial of Mary.	[Footnote forty two: The Christians of the four first centuries were ignorant of the death and burial of Mary.	false	890.43	890.49	-20
1673_143397_000027_000001	The tradition of Ephesus is affirmed by the synod, (Concil. tom.	The tradition of Ephesus is affirmed by the synod, (Concil. tom.	false	890.49	890.52	-4
1673_143397_000027_000002	iii.	iii.	false	890.52	890.52	
1673_143397_000027_000003	p. 1102;) yet it has been superseded by the claim of Jerusalem; and her empty sepulchre, as it was shown to the pilgrims, produced the fable of her resurrection and assumption, in which the Greek and Latin churches have piously acquiesced.	p. eleven o two winking face  yet it has been superseded by the claim of Jerusalem; and her empty sepulchre, as it was shown to the pilgrims, produced the fable of her resurrection and assumption, in which the Greek and Latin churches have piously acquiesced.	false	890.52	890.64	-20
1673_143397_000027_000004	See Baronius (Annal.	See Baronius (Annal.	false	890.64	890.64	
1673_143397_000027_000005	Eccles.	Eccles.	false	890.64	890.64	
1673_143397_000027_000006	A.D. 48, No. 6, &c.) and Tillemont, (Mem.	a d forty eight, no six, and c.) and Tillemont, (Mem.	false	890.64	890.7	-20
1673_143397_000027_000007	Eccles.	Eccles.	false	890.7	890.7	
1673_143397_000027_000008	tom. i.	tom. i.	false	890.7	890.7	
1673_143397_000027_000009	p. 467--477.)]	p. four hundred sixty seven-minus four hundred seventy seven.)]	false	890.7	890.73	-20
1673_143397_000028_000000	[Footnote 43: The Acts of Chalcedon (Concil. tom.	[Footnote forty three: The Acts of Chalcedon (Concil. tom.	false	890.73	890.76	-20
1673_143397_000028_000001	iv.	i v.	false	890.76	890.76	
1673_143397_000028_000002	p. 1405, 1408) exhibit a lively picture of the blind, obstinate servitude of the bishops of Egypt to their patriarch.]	p. fourteen o five, fourteen o eight) exhibit a lively picture of the blind, obstinate servitude of the bishops of Egypt to their patriarch.]	false	890.76	890.82	-6
1673_143397_000029_000000	[Footnote 44: Civil or ecclesiastical business detained the bishops at Antioch till the 18th of May.	[Footnote forty four: Civil or ecclesiastical business detained the bishops at Antioch till the eighteenth of May.	false	890.82	890.88	-20
1673_143397_000029_000001	Ephesus was at the distance of thirty days' journey; and ten days more may be fairly allowed for accidents and repose.	Ephesus was at the distance of thirty days' journey; and ten days more may be fairly allowed for accidents and repose.	false	890.88	890.94	-20
1673_143397_000029_000002	The march of Xenophon over the same ground enumerates above 260 parasangs or leagues; and this measure might be illustrated from ancient and modern itineraries, if I knew how to compare the speed of an army, a synod, and a caravan.	The march of Xenophon over the same ground enumerates above two hundred sixty parasangs or leagues; and this measure might be illustrated from ancient and modern itineraries, if I knew how to compare the speed of an army, a synod, and a caravan.	false	890.94	891.06	-20
1673_143397_000029_000003	John of Antioch is reluctantly acquitted by Tillemont himself, (Mem.	john of Antioch is reluctantly acquitted by Tillemont himself, (Mem.	false	891.06	891.09	-20
1673_143397_000029_000004	Eccles.	Eccles.	false	891.09	891.09	
1673_143397_000029_000005	tom. xiv.	tom. x i v.	false	891.09	891.09	
1673_143397_000029_000006	p. 386--389.)]	p. three hundred eighty six-minus three hundred eighty nine.)]	false	891.09	891.12	-20
1673_143397_000030_000000	[Footnote 45: Evagrius, l.	[Footnote forty five: Evagrius, l.	false	891.12	891.15	5
1673_143397_000030_000001	i.	i.	false	891.15	891.15	
1673_143397_000030_000002	c.	c.	false	891.15	891.15	
1673_143397_000030_000003	7.	seven.	false	891.15	891.15	
1673_143397_000030_000004	The same imputation was urged by Count Irenaeus, (tom. iii.	The same imputation was urged by Count Irenaeus, (tom. iii.	false	891.15	891.18	-20
1673_143397_000030_000005	p. 1249;) and the orthodox critics do not find it an easy task to defend the purity of the Greek or Latin copies of the Acts.]	p. twelve forty nine winking face  and the orthodox critics do not find it an easy task to defend the purity of the Greek or Latin copies of the Acts.]	false	891.18	891.27	-20
1673_143397_000031_000000	On the fifth day, the triumph was clouded by the arrival and indignation of the Eastern bishops.	On the fifth day, the triumph was clouded by the arrival and indignation of the Eastern bishops.	true	891.27	896.53	21
1673_143397_000031_000001	In a chamber of the inn, before he had wiped the dust from his shoes, John of Antioch gave audience to Candidian, the Imperial minister; who related his ineffectual efforts to prevent or to annul the hasty violence of the Egyptian.	In a chamber of the inn, before he had wiped the dust from his shoes, john of Antioch gave audience to Candidian, the Imperial minister; who related his ineffectual efforts to prevent or to annul the hasty violence of the Egyptian.	true	896.84	909.67	21.822279
1673_143397_000031_000002	With equal haste and violence, the Oriental synod of fifty bishops degraded Cyril and Memnon from their episcopal honors, condemned, in the twelve anathemas, the purest venom of the Apollinarian heresy, and described the Alexandrian primate as a monster, born and educated for the destruction of the church.	With equal haste and violence, the Oriental synod of fifty bishops degraded Cyril and Memnon from their episcopal honors, condemned, in the twelve anathemas, the purest venom of the Apollinarian heresy, and described the Alexandrian primate as a monster, born and educated for the destruction of the church.	false	910.13	927.42	20.517735
1673_143397_000031_000003	[46] His throne was distant and inaccessible; but they instantly resolved to bestow on the flock of Ephesus the blessing of a faithful shepherd. By the vigilance of Memnon, the churches were shut against them, and a strong garrison was thrown into the cathedral.	[forty six] His throne was distant and inaccessible; but they instantly resolved to bestow on the flock of Ephesus the blessing of a faithful shepherd. By the vigilance of Memnon, the churches were shut against them, and a strong garrison was thrown into the cathedral.	false	927.42	941.89	21.877151
1673_143397_000031_000004	The troops, under the command of Candidian, advanced to the assault; the outguards were routed and put to the sword, but the place was impregnable: the besiegers retired; their retreat was pursued by a vigorous sally; they lost their horses, and many of their soldiers were dangerously wounded with clubs and stones.	The troops, under the command of Candidian, advanced to the assault; the outguards were routed and put to the sword, but the place was impregnable: the besiegers retired; their retreat was pursued by a vigorous sally; they lost their horses, and many of their soldiers were dangerously wounded with clubs and stones.	true	942.65	959.71	22.829735
1673_143397_000031_000005	Ephesus, the city of the Virgin, was defiled with rage and clamor, with sedition and blood; the rival synods darted anathemas and excommunications from their spiritual engines; and the court of Theodosius was perplexed by the adverse and contradictory narratives of the Syrian and Egyptian factions.	Ephesus, the city of the Virgin, was defiled with rage and clamor, with sedition and blood; the rival synods darted anathemas and excommunications from their spiritual engines; and the court of Theodosius was perplexed by the adverse and contradictory narratives of the Syrian and Egyptian factions.	true	960.11	977.5	21.722303
1673_143397_000031_000006	During a busy period of three months, the emperor tried every method, except the most effectual means of indifference and contempt, to reconcile this theological quarrel.	During a busy period of three months, the emperor tried every method, except the most effectual means of indifference and contempt, to reconcile this theological quarrel.	true	977.9	986.92	24.374607
1673_143397_000031_000007	He attempted to remove or intimidate the leaders by a common sentence, of acquittal or condemnation; he invested his representatives at Ephesus with ample power and military force; he summoned from either party eight chosen deputies to a free and candid conference in the neighborhood of the capital, far from the contagion of popular frenzy.	He attempted to remove or intimidate the leaders by a common sentence, of acquittal or condemnation; he invested his representatives at Ephesus with ample power and military force; he summoned from either party eight chosen deputies to a free and candid conference in the neighborhood of the capital, far from the contagion of popular frenzy.	true	987.32	1006.24	23.587418
1673_143397_000031_000008	But the Orientals refused to yield, and the Catholics, proud of their numbers and of their Latin allies, rejected all terms of union or toleration.	But the Orientals refused to yield, and the Catholics, proud of their numbers and of their Latin allies, rejected all terms of union or toleration.	true	1006.7	1015.15	21.2586
1673_143397_000031_000009	The patience of the meek Theodosius was provoked; and he dissolved in anger this episcopal tumult, which at the distance of thirteen centuries assumes the venerable aspect of the third oecumenical council.	The patience of the meek Theodosius was provoked; and he dissolved in anger this episcopal tumult, which at the distance of thirteen centuries assumes the venerable aspect of the third oecumenical council.	true	1015.76	1026.75	22.332699
1673_143397_000031_000010	[47] "God is my witness," said the pious prince, "that I am not the author of this confusion.	[forty seven] "God is my witness," said the pious prince, "that I am not the author of this confusion.	false	1026.75	1032.58	22.05019
1673_143397_000031_000011	His providence will discern and punish the guilty.	His providence will discern and punish the guilty.	true	1032.8	1035.79	21.190325
1673_143397_000031_000012	Return to your provinces, and may your private virtues repair the mischief and scandal of your meeting." They returned to their provinces; but the same passions which had distracted the synod of Ephesus were diffused over the Eastern world.	Return to your provinces, and may your private virtues repair the mischief and scandal of your meeting." They returned to their provinces; but the same passions which had distracted the synod of Ephesus were diffused over the Eastern world.	true	1035.89	1050.16	23.847643
1673_143397_000031_000013	After three obstinate and equal campaigns, John of Antioch and Cyril of Alexandria condescended to explain and embrace: but their seeming reunion must be imputed rather to prudence than to reason, to the mutual lassitude rather than to the Christian charity of the patriarchs.	After three obstinate and equal campaigns, john of Antioch and Cyril of Alexandria condescended to explain and embrace: but their seeming reunion must be imputed rather to prudence than to reason, to the mutual lassitude rather than to the Christian charity of the patriarchs.	false	1050.44	1448.1	22.176794
