1673_143396_000000_000000	[Footnote 6: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	[Footnote six: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	false	0	3.45	21.547987
1673_143396_000015_000000	With the moderate Docetes, he revered Mary as the spiritual, rather than as the carnal, mother of Christ, whose body either came from heaven, impassible and incorruptible, or was absorbed, and as it were transformed, into the essence of the Deity.	With the moderate Docetes, he revered Mary as the spiritual, rather than as the carnal, mother of Christ, whose body either came from heaven, impassible and incorruptible, or was absorbed, and as it were transformed, into the essence of the Deity.	true	997.22	1010.59	21.604101
1673_143396_000015_000001	The system of Apollinaris was strenuously encountered by the Asiatic and Syrian divines whose schools are honored by the names of Basil, Gregory and Chrysostom, and tainted by those of Diodorus, Theodore, and Nestorius.	The system of Apollinaris was strenuously encountered by the Asiatic and Syrian divines whose schools are honored by the names of Basil, Gregory and Chrysostom, and tainted by those of Diodorus, Theodore, and Nestorius.	true	1011.17	1024.21	23.08101
1673_143396_000015_000002	But the person of the aged bishop of Laedicea, his character and dignity, remained inviolate; and his rivals, since we may not suspect them of the weakness of toleration, were astonished, perhaps, by the novelty of the argument, and diffident of the final sentence of the Catholic church.	But the person of the aged bishop of Laedicea, his character and dignity, remained inviolate; and his rivals, since we may not suspect them of the weakness of toleration, were astonished, perhaps, by the novelty of the argument, and diffident of the final sentence of the Catholic church.	false	1024.43	1040.02	22.744913
1673_143396_000015_000003	Her judgment at length inclined in their favor; the heresy of Apollinaris was condemned, and the separate congregations of his disciples were proscribed by the Imperial laws.	Her judgment at length inclined in their favor; the heresy of Apollinaris was condemned, and the separate congregations of his disciples were proscribed by the Imperial laws.	true	1040.48	1050.43	22.277922
1673_143396_000015_000004	But his principles were secretly entertained in the monasteries of Egypt, and his enemies felt the hatred of Theophilus and Cyril, the successive patriarchs of Alexandria. [Footnote 17: This strong expression might be justified by the language of St. Paul, (1 Tim.	But his principles were secretly entertained in the monasteries of Egypt, and his enemies felt the hatred of Theophilus and Cyril, the successive patriarchs of Alexandria. [Footnote seventeen: This strong expression might be justified by the language of saint Paul, (one Tim.	false	1050.86	1060.83	21.06421
1673_143396_000015_000005	iii. 16;) but we are deceived by our modern Bibles. The word which was altered to God at Constantinople in the beginning of the vith century: the true reading, which is visible in the Latin and Syriac versions, still exists in the reasoning of the Greek, as well as of the Latin fathers; and this fraud, with that of the three witnesses of St. John, is admirably detected by Sir Isaac Newton. (See his two letters translated by M. de Missy, in the Journal Britannique, tom.	iii. sixteen winking face  but we are deceived by our modern Bibles. The word which was altered to God at Constantinople in the beginning of the vith century: the true reading, which is visible in the Latin and Syriac versions, still exists in the reasoning of the Greek, as well as of the Latin fathers; and this fraud, with that of the three witnesses of saint John, is admirably detected by Sir Isaac Newton. (See his two letters translated by m de Missy, in the Journal Britannique, tom.	false	1060.83	1061.25	16
1673_143396_000015_000006	xv. p. 148--190, 351--390.) I have weighed the arguments, and may yield to the authority of the first of philosophers, who was deeply skilled in critical and theological studies.	x v. p. one hundred forty eight-minus one hundred ninety, three hundred fifty one-minus three hundred ninety.) I have weighed the arguments, and may yield to the authority of the first of philosophers, who was deeply skilled in critical and theological studies.	false	1061.25	1061.46	4
1673_143396_000015_000007	Note: It should be Griesbach in loc. The weight of authority is so much against the common reading in both these points, that they are no longer urged by prudent controversialists.	Note: It should be Griesbach in loc. The weight of authority is so much against the common reading in both these points, that they are no longer urged by prudent controversialists.	false	1061.46	1061.88	5
1673_143396_000015_000008	Would Gibbon's deference for the first of philosophers have extended to all his theological conclusions?--M.]	Would Gibbon's deference for the first of philosophers have extended to all his theological conclusions?--M.]	false	1061.88	1062.03	16
1673_143396_000016_000000	[Footnote 18: For Apollinaris and his sect, see Socrates, l.	[Footnote eighteen: For Apollinaris and his sect, see Socrates, l.	false	1062.03	1062.24	51
1673_143396_000016_000001	ii.	ii.	false	1062.24	1062.24	
1673_143396_000016_000002	c.	c.	false	1062.24	1062.24	
1673_143396_000016_000003	46, l.	forty six, l.	false	1062.24	1062.24	
1673_143396_000016_000004	iii. c.	iii. c.	false	1062.24	1062.24	
1673_143396_000016_000005	16 Sazomen, l.	sixteen Sazomen, l.	false	1062.24	1062.24	
1673_143396_000016_000006	v.	v.	false	1062.24	1062.24	
1673_143396_000016_000007	c.	c.	false	1062.24	1062.24	
1673_143396_000016_000008	18, 1.	eighteen, one.	false	1062.24	1062.24	
1673_143396_000016_000009	vi.	vi.	false	1062.24	1062.24	
1673_143396_000016_000010	c.	c.	false	1062.24	1062.24	
1673_143396_000016_000011	25, 27.	twenty five, twenty seven.	false	1062.24	1062.24	
1673_143396_000016_000012	Theodoret, l.	Theodoret, l.	false	1062.24	1062.24	
1673_143396_000016_000013	v. 3, 10, 11.	v. three, ten, eleven.	false	1062.24	1062.24	
1673_143396_000016_000014	Tillemont, Memoires Ecclesiastiques, tom.	Tillemont, Memoires Ecclesiastiques, tom.	false	1062.24	1062.24	
1673_143396_000016_000015	vii.	vii.	false	1062.24	1062.24	
1673_143396_000016_000016	p. 602--638. Not.	p. six hundred two-minus six hundred thirty eight. Not.	false	1062.24	1062.24	
1673_143396_000016_000017	p. 789--794, in 4to.	p. seven hundred eighty nine-minus seven hundred ninety four, in four to.	false	1062.24	1062.24	
1673_143396_000016_000018	Venise, 1732.	Venise, seventeen thirty two.	false	1062.24	1062.24	
1673_143396_000016_000019	The contemporary saint always mentions the bishop of Laodicea as a friend and brother.	The contemporary saint always mentions the bishop of Laodicea as a friend and brother.	false	1062.24	1062.33	11
1673_143396_000016_000020	The style of the more recent historians is harsh and hostile: yet Philostorgius compares him (l. viii.	The style of the more recent historians is harsh and hostile: yet Philostorgius compares him (l. viii.	false	1062.33	1062.33	
1673_143396_000016_000021	c.	c.	false	1062.33	1062.33	
1673_143396_000016_000022	11-15) to Basil and Gregory.]	eleven to fifteen) to Basil and Gregory.]	false	1062.33	1062.33	
1673_143396_000017_000000	V.	V.	false	1062.33	1062.33	
1673_143396_000017_000001	The grovelling Ebionite, and the fantastic Docetes, were rejected and forgotten: the recent zeal against the errors of Apollinaris reduced the Catholics to a seeming agreement with the double nature of Cerinthus. But instead of a temporary and occasional alliance, they established, and we still embrace, the substantial, indissoluble, and everlasting union of a perfect God with a perfect man, of the second person of the trinity with a reasonable soul and human flesh.	The grovelling Ebionite, and the fantastic Docetes, were rejected and forgotten: the recent zeal against the errors of Apollinaris reduced the Catholics to a seeming agreement with the double nature of Cerinthus. But instead of a temporary and occasional alliance, they established, and we still embrace, the substantial, indissoluble, and everlasting union of a perfect God with a perfect man, of the second person of the trinity with a reasonable soul and human flesh.	false	1062.33	1087.96	21.536469
1673_143396_000017_000002	In the beginning of the fifth century, the unity of the two natures was the prevailing doctrine of the church.	In the beginning of the fifth century, the unity of the two natures was the prevailing doctrine of the church.	true	1088.45	1093.57	22.709248
1673_143396_000017_000003	On all sides, it was confessed, that the mode of their coexistence could neither be represented by our ideas, nor expressed by our language.	On all sides, it was confessed, that the mode of their coexistence could neither be represented by our ideas, nor expressed by our language.	true	1093.85	1101.52	22.657013
1673_143396_000017_000004	Yet a secret and incurable discord was cherished, between those who were most apprehensive of confounding, and those who were most fearful of separating, the divinity, and the humanity, of Christ. Impelled by religious frenzy, they fled with adverse haste from the error which they mutually deemed most destructive of truth and salvation.	Yet a secret and incurable discord was cherished, between those who were most apprehensive of confounding, and those who were most fearful of separating, the divinity, and the humanity, of Christ. Impelled by religious frenzy, they fled with adverse haste from the error which they mutually deemed most destructive of truth and salvation.	true	1101.8	1120.45	21.642794
1673_143396_000017_000005	On either hand they were anxious to guard, they were jealous to defend, the union and the distinction of the two natures, and to invent such forms of speech, such symbols of doctrine, as were least susceptible of doubt or ambiguity.	On either hand they were anxious to guard, they were jealous to defend, the union and the distinction of the two natures, and to invent such forms of speech, such symbols of doctrine, as were least susceptible of doubt or ambiguity.	false	1120.91	1133.23	21.77663
1673_143396_000017_000006	The poverty of ideas and language tempted them to ransack art and nature for every possible comparison, and each comparison mislead their fancy in the explanation of an incomparable mystery.	The poverty of ideas and language tempted them to ransack art and nature for every possible comparison, and each comparison mislead their fancy in the explanation of an incomparable mystery.	false	1133.69	1144.54	22.070313
1673_143396_000017_000007	In the polemic microscope, an atom is enlarged to a monster, and each party was skilful to exaggerate the absurd or impious conclusions that might be extorted from the principles of their adversaries.	In the polemic microscope, an atom is enlarged to a monster, and each party was skilful to exaggerate the absurd or impious conclusions that might be extorted from the principles of their adversaries.	false	1145.15	1156.15	22.40314
1673_143396_000017_000008	To escape from each other, they wandered through many a dark and devious thicket, till they were astonished by the horrid phantoms of Cerinthus and Apollinaris, who guarded the opposite issues of the theological labyrinth.	To escape from each other, they wandered through many a dark and devious thicket, till they were astonished by the horrid phantoms of Cerinthus and Apollinaris, who guarded the opposite issues of the theological labyrinth.	false	1156.7	1169.41	23.147348
1673_143396_000017_000009	As soon as they beheld the twilight of sense and heresy, they started, measured back their steps, and were again involved in the gloom of impenetrable orthodoxy.	As soon as they beheld the twilight of sense and heresy, they started, measured back their steps, and were again involved in the gloom of impenetrable orthodoxy.	true	1169.99	1179.31	22.46136
1673_143396_000017_000010	To purge themselves from the guilt or reproach of damnable error, they disavowed their consequences, explained their principles, excused their indiscretions, and unanimously pronounced the sounds of concord and faith.	To purge themselves from the guilt or reproach of damnable error, they disavowed their consequences, explained their principles, excused their indiscretions, and unanimously pronounced the sounds of concord and faith.	true	1179.77	1192.18	22.487297
1673_143396_000017_000011	Yet a latent and almost invisible spark still lurked among the embers of controversy: by the breath of prejudice and passion, it was quickly kindled to a mighty flame, and the verbal disputes [19] of the Oriental sects have shaken the pillars of the church and state.	Yet a latent and almost invisible spark still lurked among the embers of controversy: by the breath of prejudice and passion, it was quickly kindled to a mighty flame, and the verbal disputes [nineteen] of the Oriental sects have shaken the pillars of the church and state.	false	1192.52	1208.55	21.752008
1673_143396_000018_000000	[Footnote 19: I appeal to the confession of two Oriental prelates, Gregory Abulpharagius the Jacobite primate of the East, and Elias the Nestorian metropolitan of Damascus, (see Asseman, Bibliothec.	[Footnote nineteen: I appeal to the confession of two Oriental prelates, Gregory Abulpharagius the Jacobite primate of the East, and Elias the Nestorian metropolitan of Damascus, (see Asseman, Bibliothec.	false	1208.55	1209.51	36.91204
1673_143396_000018_000001	Oriental. tom.	Oriental. tom.	false	1209.51	1209.51	
1673_143396_000018_000002	ii.	ii.	false	1209.51	1209.51	
1673_143396_000018_000003	p. 291, tom.	p. two hundred ninety one, tom.	false	1209.51	1209.51	
1673_143396_000018_000004	iii.	iii.	false	1209.51	1209.51	
1673_143396_000018_000005	p. 514, &c.,) that the Melchites, Jacobites, Nestorians, &c., agree in the doctrine, and differ only in the expression.	p. five hundred fourteen, and c.,) that the Melchites, Jacobites, Nestorians, and c., agree in the doctrine, and differ only in the expression.	false	1209.51	1209.51	
1673_143396_000018_000006	Our most learned and rational divines--Basnage, Le Clerc, Beausobre, La Croze, Mosheim, Jablonski--are inclined to favor this charitable judgment; but the zeal of Petavius is loud and angry, and the moderation of Dupin is conveyed in a whisper.]	Our most learned and rational divines-Basnage, Le Clerc, Beausobre, La Croze, Mosheim, Jablonski-are inclined to favor this charitable judgment; but the zeal of Petavius is loud and angry, and the moderation of Dupin is conveyed in a whisper.]	false	1209.51	1209.51	
1673_143396_000019_000000	The name of Cyril of Alexandria is famous in controversial story, and the title of saint is a mark that his opinions and his party have finally prevailed.	The name of Cyril of Alexandria is famous in controversial story, and the title of saint is a mark that his opinions and his party have finally prevailed.	false	1209.51	1218.7	23
1673_143396_000019_000001	In the house of his uncle, the archbishop Theophilus, he imbibed the orthodox lessons of zeal and dominion, and five years of his youth were profitably spent in the adjacent monasteries of Nitria.	In the house of his uncle, the archbishop Theophilus, he imbibed the orthodox lessons of zeal and dominion, and five years of his youth were profitably spent in the adjacent monasteries of Nitria.	true	1219.19	1231.24	21.619698
1673_143396_000019_000002	Under the tuition of the abbot Serapion, he applied himself to ecclesiastical studies, with such indefatigable ardor, that in the course of one sleepless night, he has perused the four Gospels, the Catholic Epistles, and the Epistle to the Romans.	Under the tuition of the abbot Serapion, he applied himself to ecclesiastical studies, with such indefatigable ardor, that in the course of one sleepless night, he has perused the four Gospels, the Catholic Epistles, and the Epistle to the romans.	true	1231.82	1246.05	23.009146
1673_143396_000019_000003	Origen he detested; but the writings of Clemens and Dionysius, of Athanasius and Basil, were continually in his hands: by the theory and practice of dispute, his faith was confirmed and his wit was sharpened; he extended round his cell the cobwebs of scholastic theology, and meditated the works of allegory and metaphysics, whose remains, in seven verbose folios, now peaceably slumber by the side of their rivals.	Origen he detested; but the writings of Clemens and Dionysius, of Athanasius and Basil, were continually in his hands: by the theory and practice of dispute, his faith was confirmed and his wit was sharpened; he extended round his cell the cobwebs of scholastic theology, and meditated the works of allegory and metaphysics, whose remains, in seven verbose folios, now peaceably slumber by the side of their rivals.	false	1246.05	1272.21	21.228138
1673_143396_000019_000004	[20] Cyril prayed and fasted in the desert, but his thoughts (it is the reproach of a friend) [21] were still fixed on the world; and the call of Theophilus, who summoned him to the tumult of cities and synods, was too readily obeyed by the aspiring hermit.	[twenty] Cyril prayed and fasted in the desert, but his thoughts (it is the reproach of a friend) [twenty one] were still fixed on the world; and the call of Theophilus, who summoned him to the tumult of cities and synods, was too readily obeyed by the aspiring hermit.	false	1272.21	1286.17	23.036499
1673_143396_000019_000005	With the approbation of his uncle, he assumed the office, and acquired the fame, of a popular preacher.	With the approbation of his uncle, he assumed the office, and acquired the fame, of a popular preacher.	true	1286.51	1291.72	21.656694
1673_143396_000019_000006	His comely person adorned the pulpit; the harmony of his voice resounded in the cathedral; his friends were stationed to lead or second the applause of the congregation; [22] and the hasty notes of the scribes preserved his discourses, which in their effect, though not in their composition, might be compared with those of the Athenian orators.	His comely person adorned the pulpit; the harmony of his voice resounded in the cathedral; his friends were stationed to lead or second the applause of the congregation; [twenty two] and the hasty notes of the scribes preserved his discourses, which in their effect, though not in their composition, might be compared with those of the Athenian orators.	false	1291.94	1310.02	22.721828
1673_143396_000019_000007	The death of Theophilus expanded and realized the hopes of his nephew.	The death of Theophilus expanded and realized the hopes of his nephew.	true	1310.66	1314.61	22.97451
1673_143396_000019_000008	The clergy of Alexandria was divided; the soldiers and their general supported the claims of the archdeacon; but a resistless multitude, with voices and with hands, asserted the cause of their favorite; and after a period of thirty-nine years, Cyril was seated on the throne of Athanasius. [23]	The clergy of Alexandria was divided; the soldiers and their general supported the claims of the archdeacon; but a resistless multitude, with voices and with hands, asserted the cause of their favorite; and after a period of thirty nine years, Cyril was seated on the throne of Athanasius. [twenty three]	false	1314.95	1339.86	21.609535
