2902_9008_000000_000000	CHAPTER II: THE DYING WORLD	CHAPTER two: THE DYING WORLD	false	0.72	25.29	20.06729
2902_9008_000042_000001	'I expect every time I ride, to have my brains knocked out by some mad monk.'	'I expect every time I ride, to have my brains knocked out by some mad monk.'	true	1024.13	1028.47	21.055338
2902_9008_000043_000000	'Why not?	'Why not?	true	1029.17	1030.18	22.15559
2902_9008_000043_000001	In an age when, as has been well and often said, emperors and consulars crawl to the tombs of a tent-maker and a fisherman, and kiss the mouldy bones of the vilest slaves?	In an age when, as has been well and often said, emperors and consulars crawl to the tombs of a tent maker and a fisherman, and kiss the mouldy bones of the vilest slaves?	true	1030.31	1041.52	20.180422
2902_9008_000043_000002	Why not, among a people whose God is the crucified son of a carpenter?	Why not, among a people whose God is the crucified son of a carpenter?	true	1041.86	1046.41	21.661963
2902_9008_000043_000003	Why should learning, authority, antiquity, birth, rank, the system of empire which has been growing up, fed by the accumulated wisdom of ages,--why, I say, should any of these things protect your life a moment from the fury of any beggar who believes that the Son of God died for him as much as for you, and that he is your equal if not your superior in the sight of his low-born and illiterate deity!' [Footnote: These are the arguments and the language which were commonly employed by Porphyry, Julian, and the other opponents of Christianity.]	Why should learning, authority, antiquity, birth, rank, the system of empire which has been growing up, fed by the accumulated wisdom of ages,--why, I say, should any of these things protect your life a moment from the fury of any beggar who believes that the Son of God died for him as much as for you, and that he is your equal if not your superior in the sight of his low born and illiterate deity!' [Footnote: These are the arguments and the language which were commonly employed by Porphyry, Julian, and the other opponents of Christianity.]	true	1046.93	1081	19.21214
2902_9008_000044_000000	'My most eloquent philosopher, this may be--and perhaps is--all very true.	'My most eloquent philosopher, this may be-and perhaps is-all very true.	true	1083.08	1087.96	19.629078
2902_9008_000044_000001	I quite agree that there are very great practical inconveniences of this kind in the new--I mean the Catholic faith; but the world is full of inconveniences.	I quite agree that there are very great practical inconveniences of this kind in the new-I mean the Catholic faith; but the world is full of inconveniences.	true	1087.97	1098.4	20.132988
2902_9008_000044_000002	The wise man does not quarrel with his creed for being disagreeable, any more than he does with his finger for aching: he cannot help it, and must make the best of a bad matter.	The wise man does not quarrel with his creed for being disagreeable, any more than he does with his finger for aching: he cannot help it, and must make the best of a bad matter.	true	1098.44	1108.21	19.611307
2902_9008_000044_000003	Only tell me how to keep the peace.'	Only tell me how to keep the peace.'	true	1108.67	1110.91	19.088886
2902_9008_000045_000000	'And let philosophy be destroyed?'	'And let philosophy be destroyed?'	true	1111.7	1114.06	19.019957
2902_9008_000046_000000	'That it never will be, as long as Hypatia lives to illuminate the earth; and, as far as I am concerned, I promise you a clear stage and--a great deal of favour; as is proved by my visiting you publicly at this moment, before I have given audience to one of the four hundred bores, great and small, who are waiting in the tribunal to torment me.	'That it never will be, as long as Hypatia lives to illuminate the earth; and, as far as I am concerned, I promise you a clear stage and-a great deal of favour; as is proved by my visiting you publicly at this moment, before I have given audience to one of the four hundred bores, great and small, who are waiting in the tribunal to torment me.	true	1114.49	1134.88	20.461561
2902_9008_000046_000001	Do help me and advise me.	Do help me and advise me.	true	1135.31	1137.05	19.480228
2902_9008_000046_000002	What am I to do?'	What am I to do?'	true	1137.05	1138.18	21.473663
2902_9008_000047_000000	'I have told you.'	'I have told you.'	true	1138.88	1140.13	19.263294
2902_9008_000048_000000	'Ah, yes, as to general principles.	'Ah, yes, as to general principles.	true	1140.53	1143.1	19.934359
2902_9008_000048_000001	But out of the lecture-room I prefer a practical expedient for instance, Cyril writes to me here--plague on him! he would not let me even have a week's hunting in peace-that there is a plot on the part of the Jews to murder all the Christians.	But out of the lecture room I prefer a practical expedient for instance, Cyril writes to me here-plague on him! he would not let me even have a week's hunting in peace that there is a plot on the part of the Jews to murder all the Christians.	true	1143.23	1157.35	20.201391
2902_9008_000048_000002	Here is the precious document--do look at it, in pity.	Here is the precious document-do look at it, in pity.	true	1157.66	1161.22	21.839048
2902_9008_000048_000003	For aught I know or care, the plot may be an exactly opposite one, and the Christians intend to murder all the Jews.	For aught I know or care, the plot may be an exactly opposite one, and the Christians intend to murder all the Jews.	true	1161.56	1167.94	20.221386
2902_9008_000048_000004	But I must take some notice of the letter.'	But I must take some notice of the letter.'	true	1167.98	1170.28	21.015074
2902_9008_000049_000000	'I do not see that, your excellency.'	'I do not see that, your excellency.'	true	1171.22	1173.43	19.269978
2902_9008_000050_000000	'Why, if anything did happen, after all, conceive the missives which would be sent flying off to Constantinople against me!'	'Why, if anything did happen, after all, conceive the missives which would be sent flying off to Constantinople against me!'	true	1174.1	1180.24	20.583916
2902_9008_000051_000000	'Let them go.	'Let them go.	true	1180.7	1181.89	21.468285
2902_9008_000051_000001	If you are secure in the consciousness of innocence, what matter?'	If you are secure in the consciousness of innocence, what matter?'	true	1181.99	1185.67	19.504507
2902_9008_000052_000000	'Consciousness of innocence?	'Consciousness of innocence?	true	1186.31	1187.98	21.111012
2902_9008_000052_000001	I shall lose my prefecture!'	I shall lose my prefecture!'	true	1188.14	1189.93	19.118183
2902_9008_000053_000000	'Your danger would just be as great if you took notice of it.	'Your danger would just be as great if you took notice of it.	false	1190.69	1194.16	21.35093
2902_9008_000053_000001	Whatever happened, you would be accused of favouring the Jews.'	Whatever happened, you would be accused of favouring the Jews.'	true	1194.32	1197.73	18.056055
2902_9008_000054_000000	'And really there might be some truth in the accusation.	'And really there might be some truth in the accusation.	true	1198.43	1201.15	19.218916
2902_9008_000054_000001	How the finances of the provinces would go on without their kind assistance, I dare not think.	How the finances of the provinces would go on without their kind assistance, I dare not think.	true	1201.28	1206.31	20.313
2902_9008_000054_000002	If those Christians would but lend me their money, instead of building alms-houses and hospitals with it, they might burn the Jews' quarter to-morrow, for aught I care.	If those Christians would but lend me their money, instead of building alms houses and hospitals with it, they might burn the Jews' quarter to morrow, for aught I care.	true	1206.5	1214.65	20.219793
2902_9008_000054_000003	But now....'	But now....'	true	1215.02	1215.94	22.719393
2902_9008_000055_000000	'But now, you must absolutely take no notice of this letter.	'But now, you must absolutely take no notice of this letter.	true	1216.16	1220.26	18.453585
2902_9008_000055_000001	The very tone of it forbids you, for your own honour, and the honour of the empire.	The very tone of it forbids you, for your own honour, and the honour of the empire.	true	1220.57	1225.3	18.945965
2902_9008_000055_000002	Are you to treat with a man who talks of the masses at Alexandria as "the flock whom the King of kings has committed to his rule and care"?	Are you to treat with a man who talks of the masses at Alexandria as "the flock whom the King of kings has committed to his rule and care"?	true	1225.76	1234.63	19.279446
2902_9008_000055_000003	Does your excellency, or this proud bishop, govern Alexandria?'	Does your excellency, or this proud bishop, govern Alexandria?'	true	1235.21	1239.91	20.471003
2902_9008_000056_000000	'Really, my dear lady, I have given up inquiring.'	'Really, my dear lady, I have given up inquiring.'	true	1240.67	1243.54	18.935026
2902_9008_000057_000000	'But he has not.	'But he has not.	true	1244.33	1245.85	17.945234
2902_9008_000057_000001	He comes to you as a person possessing an absolute authority over two-thirds of the population, which he does not scruple to hint to you is derived from a higher source than your own.	He comes to you as a person possessing an absolute authority over two thirds of the population, which he does not scruple to hint to you is derived from a higher source than your own.	true	1246.01	1256.41	19.959375
2902_9008_000057_000002	The consequence is clear.	The consequence is clear.	true	1256.78	1258.45	20.476315
2902_9008_000057_000003	If it be from a higher source than yours, of course it ought to control yours'; and you will confess that it ought to control it--you will acknowledge the root and ground of every extravagant claim which he makes, if you deign to reply.'	If it be from a higher source than yours, of course it ought to control yours'; and you will confess that it ought to control it-you will acknowledge the root and ground of every extravagant claim which he makes, if you deign to reply.'	false	1258.58	1272.64	19.733273
2902_9008_000058_000000	'But I must say something, or I shall be pelted in the streets.	'But I must say something, or I shall be pelted in the streets.	true	1273.52	1277.14	19.70812
2902_9008_000058_000001	You philosophers, however raised above your own bodies you may be, must really not forget that we poor worldlings have bones to be broken.'	You philosophers, however raised above your own bodies you may be, must really not forget that we poor worldlings have bones to be broken.'	true	1277.48	1285.45	21.140923
2902_9008_000059_000000	'Then tell him, and by word of mouth merely, that as the information which he sends you comes from his private knowledge and concerns not him as bishop, but you as magistrate, you can only take it into consideration when he addresses you as a private person, laying a regular information at your tribunal.'	'Then tell him, and by word of mouth merely, that as the information which he sends you comes from his private knowledge and concerns not him as bishop, but you as magistrate, you can only take it into consideration when he addresses you as a private person, laying a regular information at your tribunal.'	true	1286.24	1304.23	18.41685
2902_9008_000060_000000	'Charming! queen of diplomatists as well as philosophers!	'Charming! queen of diplomatists as well as philosophers!	true	1305.02	1308.91	19.436773
2902_9008_000060_000001	I go to obey you.	I go to obey you.	true	1309.01	1310.59	19.836357
2902_9008_000060_000002	Ah! why were you not Pulcheria?	Ah! why were you not Pulcheria?	false	1310.75	1313.49	19.707977
2902_9008_000060_000003	No, for then Alexandria had been dark, and Orestes missed the supreme happiness of kissing a hand which Pallas, when she made you, must have borrowed from the workshop of Aphrodite.'	No, for then Alexandria had been dark, and Orestes missed the supreme happiness of kissing a hand which Pallas, when she made you, must have borrowed from the workshop of Aphrodite.'	false	1313.49	1325.16	19.478708
2902_9008_000061_000000	'Recollect that you are a Christian,' answered Hypatia, half smiling.	'Recollect that you are a Christian,' answered Hypatia, half smiling.	true	1325.16	1329.28	20.903175
2902_9008_000062_000000	So the prefect departed; and passing through the outer hall, which was already crowded with Hypatia's aristocratic pupils and visitors, bowed his way out past them and regained his chariot, chuckling over the rebuff which he intended to administer to Cyril, and comforting himself with the only text of Scripture of the inspiration of which he was thoroughly convinced--'Sufficient for the day is the evil thereof.'	So the prefect departed; and passing through the outer hall, which was already crowded with Hypatia's aristocratic pupils and visitors, bowed his way out past them and regained his chariot, chuckling over the rebuff which he intended to administer to Cyril, and comforting himself with the only text of Scripture of the inspiration of which he was thoroughly convinced-'Sufficient for the day is the evil thereof.'	false	1329.92	1355.25	19.494068
2902_9008_000063_000000	At the door was a crowd of chariots, slaves with their masters' parasols, and the rabble of onlooking boys and market-folk, as usual in Alexandria then, as in all great cities since, who were staring at the prefect, and having their heads rapped by his guards, and wondering what sort of glorious personage Hypatia might be, and what sort of glorious house she must live in, to be fit company for the great governor of Alexandria.	At the door was a crowd of chariots, slaves with their masters' parasols, and the rabble of onlooking boys and market folk, as usual in Alexandria then, as in all great cities since, who were staring at the prefect, and having their heads rapped by his guards, and wondering what sort of glorious personage Hypatia might be, and what sort of glorious house she must live in, to be fit company for the great governor of Alexandria.	false	1355.25	1359.93	18.406452
2902_9008_000063_000001	Not that there was not many a sulky and lowering face among the mob, for the great majority of them were Christians, and very seditious and turbulent politicians, as Alexandrians, 'men of Macedonia,' were bound to be; and there was many a grumble among them, all but audible, at the prefect's going in state to the heathen woman's house--heathen sorceress, some pious old woman called her--before he heard any poor soul's petition in the tribunal, or even said his prayers in church.	Not that there was not many a sulky and lowering face among the mob, for the great majority of them were Christians, and very seditious and turbulent politicians, as Alexandrians, 'men of Macedonia,' were bound to be; and there was many a grumble among them, all but audible, at the prefect's going in state to the heathen woman's house-heathen sorceress, some pious old woman called her-before he heard any poor soul's petition in the tribunal, or even said his prayers in church.	false	1359.93	1363.08	-20
