1919_142785_000000_000000	_Time_.--Altogether, 1/2 hour.	underscore Time underscore.--Altogether, one half hour.	false	63.21	66.58	22.486675
1919_142785_000062_000000	_Average cost_, for this quantity, 1s.	underscore Average cost underscore, for this quantity, ones.	false	1033.02	1036.68	21.086323
1919_142785_000062_000001	6d.	six d.	false	1036.68	1039.83	22.850166
1919_142785_000063_000000	[Illustration: SHALOT.]	[Illustration: SHALOT.]	true	1039.83	1041.91	20.611979
1919_142785_000064_000000	SHALOT, OR ESCHALOT.--This plant is supposed to have been introduced to England by the Crusaders, who found it growing wild in the vicinity of Ascalon.	SHALOT, o r ESCHALOT.--This plant is supposed to have been introduced to England by the Crusaders, who found it growing wild in the vicinity of Ascalon.	false	1042.97	1052.71	24.29087
1919_142785_000064_000001	It is a bulbous root, and when full grown, its leaves wither in July.	It is a bulbous root, and when full grown, its leaves wither in July.	true	1053.26	1057.36	22
1919_142785_000064_000002	They ought to be taken up in the autumn, and when dried in the house, will keep till spring.	They ought to be taken up in the autumn, and when dried in the house, will keep till spring.	false	1057.76	1062.46	24.165718
1919_142785_000064_000003	It is called by old authors the "barren onion," and is used in sauces and pickles, soups and made dishes, and as an accompaniment to chops and steaks.	It is called by old authors the "barren onion," and is used in sauces and pickles, soups and made dishes, and as an accompaniment to chops and steaks.	true	1063.16	1073.65	23.434668
1919_142785_000065_000000	ESPAGNOLE, OR BROWN SPANISH SAUCE.	ESPAGNOLE, o r BROWN SPANISH SAUCE.	true	1075.25	1077.69	24.495836
1919_142785_000066_000000	411.	four hundred eleven.	false	1077.69	1079.77	24.606777
1919_142785_000066_000001	INGREDIENTS.--2 slices of lean ham, 1 lb. of veal, 1-1/2 pint of white stock, No. 107; 2 or 3 sprigs of parsley, 1/2 a bay-leaf, 2 or 3 sprigs of savoury herbs, 6 green onions, 3 shalots, 2 cloves, 1 blade of mace, 2 glasses of sherry or Madeira, thickening of butter and flour.	INGREDIENTS.-minus two slices of lean ham, one l b of veal, one minus one half pint of white stock, no one hundred seven; two or three sprigs of parsley, one half a bay leaf, two or three sprigs of savoury herbs, six green onions, three shalots, two cloves, one blade of mace, two glasses of sherry or Madeira, thickening of butter and flour.	false	1080.62	1108.77	22.382774
1919_142785_000067_000000	_Mode_.--Cut up the ham and veal into small square pieces, and put them into a stewpan.	underscore Mode underscore.--Cut up the ham and veal into small square pieces, and put them into a stewpan.	false	1108.77	1116.69	26.99565
1919_142785_000067_000001	Moisten these with 1/2 pint of the stock No. 107, and simmer till the bottom of the stewpan is covered with a nicely-coloured glaze, when put in a few more spoonfuls to detach it.	Moisten these with one half pint of the stock no one hundred seven, and simmer till the bottom of the stewpan is covered with a nicely coloured glaze, when put in a few more spoonfuls to detach it.	false	1116.69	1130.02	23.622154
1919_142785_000067_000002	Add the remainder of the stock, with the spices, herbs, shalots, and onions, and simmer very gently for 1 hour.	Add the remainder of the stock, with the spices, herbs, shalots, and onions, and simmer very gently for one hour.	false	1130.72	1137.55	20.225336
1919_142785_000067_000003	Strain and skim off every particle of fat, and when required for use, thicken with butter and flour, or with a little roux.	Strain and skim off every particle of fat, and when required for use, thicken with butter and flour, or with a little roux.	true	1138.22	1145.5	23.680887
1919_142785_000067_000004	Add the wine, and, if necessary, a seasoning of cayenne; when it will be ready to serve.	Add the wine, and, if necessary, a seasoning of cayenne; when it will be ready to serve.	true	1146.41	1151.73	24.870193
1919_142785_000068_000000	_Time_.--1-1/2 hour.	underscore Time underscore.-minus one minus one half hour.	false	1151.73	1154.85	25.144657
1919_142785_000069_000000	_Average cost_, 2s. per pint.	underscore Average cost underscore, twos. per pint.	false	1154.85	1158.06	22.116957
1919_142785_000070_000000	_Note_.--The wine in this sauce may be omitted, and an onion sliced and fried of a nice brown substituted for it.	underscore Note underscore.--The wine in this sauce may be omitted, and an onion sliced and fried of a nice brown substituted for it.	false	1158.06	1166.08	20.922709
1919_142785_000070_000001	This sauce or gravy is used for many dishes, and with most people is a general favourite.	This sauce or gravy is used for many dishes, and with most people is a general favourite.	true	1166.36	1171.99	22.616518
1919_142785_000071_000000	FENNEL SAUCE FOR MACKEREL.	FENNEL SAUCE FOR MACKEREL.	true	1174.52	1176.18	20.659994
1919_142785_000072_000000	412.	four hundred twelve.	false	1176.18	1178.05	28.3072
1919_142785_000072_000001	INGREDIENTS.--1/2 pint of melted butter, No. 376, rather more than 1 tablespoonful of chopped fennel.	INGREDIENTS.-minus one half pint of melted butter, no three hundred seventy six, rather more than one tablespoonful of chopped fennel.	false	1178.81	1186.95	24.431292
1919_142785_000073_000000	_Mode_.--Make the melted butter very smoothly, by recipe No. 376; chop the fennel rather small, carefully cleansing it from any grit or dirt, and put it to the butter when this is on the point of boiling.	underscore Mode underscore.--Make the melted butter very smoothly, by recipe no three hundred seventy six; chop the fennel rather small, carefully cleansing it from any grit or dirt, and put it to the butter when this is on the point of boiling.	false	1186.95	1202.02	25.597467
1919_142785_000073_000001	Simmer for a minute or two, and serve in a tureen.	Simmer for a minute or two, and serve in a tureen.	true	1202.33	1205.4	24.138687
1919_142785_000074_000000	_Time_.--2 minutes.	underscore Time underscore.-minus two minutes.	false	1205.4	1207.89	28.703135
1919_142785_000075_000000	_Average cost_, 4d.	underscore Average cost underscore, four d.	false	1207.89	1210.74	23.534481
1919_142785_000076_000000	_Sufficient_ to serve with 5 or 6 mackerel.	underscore Sufficient underscore to serve with five or six mackerel.	false	1210.74	1214.14	21.450104
1919_142785_000077_000000	[Illustration: FENNEL.]	[Illustration: FENNEL.]	true	1215.62	1217.74	18.8935
1919_142785_000078_000000	FENNEL.--This elegantly-growing plant, of which the Latin name is _Anethum foeniculum_, grows best in chalky soils, where, indeed, it is often found wild.	FENNEL.--This elegantly growing plant, of which the Latin name is underscore Anethum foeniculum underscore, grows best in chalky soils, where, indeed, it is often found wild.	false	1218.83	1230.55	24.1884
1919_142785_000078_000001	It is very generally cultivated in gardens, and has much improved on its original form.	It is very generally cultivated in gardens, and has much improved on its original form.	true	1230.92	1236.28	23.381258
1919_142785_000078_000002	Various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in soups, although it is more usually confined, in English cookery, to the mackerel sauce as here given.	Various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in soups, although it is more usually confined, in English cookery, to the mackerel sauce as here given.	true	1236.77	1249.99	22.4173
1919_142785_000079_000000	FISH SAUCE.	FISH SAUCE.	true	1252.16	1253.19	25.08648
1919_142785_000080_000000	413.	four hundred thirteen.	false	1253.19	1254.91	22.8609
1919_142785_000080_000001	INGREDIENTS.--1-1/2 oz. of cayenne, 2 tablespoonfuls of walnut ketchup, 2 tablespoonfuls of soy, a few shreds of garlic and shalot, 1 quart of vinegar.	INGREDIENTS.-minus one to half an ounce. of cayenne, two tablespoonfuls of walnut ketchup, two tablespoonfuls of soy, a few shreds of garlic and shalot, one quart of vinegar.	false	1255.91	1268.76	23.510693
1919_142785_000081_000000	_Mode_.--Put all the ingredients into a large bottle, and shake well every day for a fortnight.	underscore Mode underscore.--Put all the ingredients into a large bottle, and shake well every day for a fortnight.	false	1268.76	1275.64	23.59643
1919_142785_000081_000001	Keep it in small bottles well sealed, and in a few days it will be fit for use.	Keep it in small bottles well sealed, and in a few days it will be fit for use.	false	1276.94	1281.84	22
1919_142785_000082_000000	_Average cost_, for this quantity, 1s.	underscore Average cost underscore, for this quantity, ones.	false	1281.84	1287.06	18.868755
1919_142785_000083_000000	FORCEMEAT BALLS FOR FISH SOUPS.	FORCEMEAT BALLS FOR FISH SOUPS.	true	1287.06	1289.19	21
1919_142785_000084_000000	414.	four hundred fourteen.	false	1289.19	1291.09	24.042515
1919_142785_000084_000001	INGREDIENTS.--1 middling-sized lobster, 1/2 an anchovy, 1 head of boiled celery, the yolk of a hard-boiled egg; salt, cayenne, and mace to taste; 4 tablespoonfuls of bread crumbs, 2 oz. of butter, 2 eggs.	INGREDIENTS.-minus one middling sized lobster, one half an anchovy, one head of boiled celery, the yolk of a hard boiled egg; salt, cayenne, and mace to taste; four tablespoonfuls of bread crumbs, two ounces. of butter, two eggs.	false	1291.82	1310.22	22.560204
1919_142785_000085_000000	_Mode_.--Pick the meat from the shell of the lobster, and pound it, with the soft parts, in a mortar; add the celery, the yolk of the hard-boiled egg, seasoning, and bread crumbs.	underscore Mode underscore.--Pick the meat from the shell of the lobster, and pound it, with the soft parts, in a mortar; add the celery, the yolk of the hard boiled egg, seasoning, and bread crumbs.	false	1310.22	1323.37	21.552715
1919_142785_000085_000001	Continue pounding till the whole is nicely amalgamated.	Continue pounding till the whole is nicely amalgamated.	true	1323.8	1327.3	21
1919_142785_000085_000002	Warm the butter till it is in a liquid state; well whisk the eggs, and work these up with the pounded lobster-meat.	Warm the butter till it is in a liquid state; well whisk the eggs, and work these up with the pounded lobster meat.	true	1327.85	1335.16	23.65189
1919_142785_000085_000003	Make into balls of about an inch in diameter, and fry of a nice pale brown.	Make into balls of about an inch in diameter, and fry of a nice pale brown.	true	1335.29	1340.07	18
1919_142785_000086_000000	_Sufficient_, from 18 to 20 balls for 1 tureen of soup.	underscore Sufficient underscore, from eighteen to twenty balls for one tureen of soup.	false	1340.07	1345.27	20.930643
1919_142785_000087_000000	FORCEMEAT FOR COLD SAVOURY PIES.	FORCEMEAT FOR COLD SAVOURY PIES.	true	1347.2	1349.55	19
1919_142785_000088_000000	415.	four hundred fifteen.	false	1349.55	1351.18	16.993856
1919_142785_000088_000001	INGREDIENTS.--1 lb. of veal, 1 lb. of fat bacon; salt, cayenne, pepper, and pounded mace to taste; a very little nutmeg, the same of chopped lemon-peel, 1/2 teaspoonful of chopped parsley, 1/2 teaspoonful of minced savoury herbs, 1 or 2 eggs.	INGREDIENTS.-minus one l b of veal, one l b of fat bacon; salt, cayenne, pepper, and pounded mace to taste; a very little nutmeg, the same of chopped lemon peel, one half teaspoonful of chopped parsley, one half teaspoonful of minced savoury herbs, one or two eggs.	false	1352.18	1372.08	23.584381
1919_142785_000089_000000	_Mode_.--Chop the veal and bacon together, and put them in a mortar with the other ingredients mentioned above.	underscore Mode underscore.--Chop the veal and bacon together, and put them in a mortar with the other ingredients mentioned above.	false	1372.08	1379.35	22.815247
1919_142785_000089_000001	Pound well, and bind with 1 or 2 eggs which have been previously beaten and strained.	Pound well, and bind with one or two eggs which have been previously beaten and strained.	true	1379.72	1385.17	22.578926
1919_142785_000089_000002	Work the whole well together, and the forcemeat will be ready for use.	Work the whole well together, and the forcemeat will be ready for use.	true	1385.66	1389.64	23
1919_142785_000089_000003	If the pie is not to be eaten immediately, omit the herbs and parsley, as these would prevent it from keeping.	If the pie is not to be eaten immediately, omit the herbs and parsley, as these would prevent it from keeping.	true	1390.7	1397.2	22.98907
1919_142785_000089_000004	Mushrooms or truffles may be added.	Mushrooms or truffles may be added.	true	1397.78	1399.95	25
1919_142785_000090_000000	_Sufficient_ for 2 small pies.	underscore Sufficient underscore for two small pies.	false	1399.95	1402.9	21.515963
1919_142785_000091_000000	[Illustration: MARJORAM.]	[Illustration: MARJORAM.]	true	1404.02	1406.23	19.0649
1919_142785_000092_000000	MARJORAM.--Although there are several species of marjoram, that which is known as the sweet or knotted marjoram, is the one usually preferred in cookery.	MARJORAM.--Although there are several species of marjoram, that which is known as the sweet or knotted marjoram, is the one usually preferred in cookery.	true	1407.2	1416.07	22.266245
1919_142785_000092_000001	It is a native of Portugal, and when its leaves are used as a seasoning herb, they have an agreeable aromatic flavour.	It is a native of Portugal, and when its leaves are used as a seasoning herb, they have an agreeable aromatic flavour.	true	1416.62	1424.2	24.071997
1919_142785_000092_000002	The winter sweet marjoram used for the same purposes, is a native of Greece, and the pot-marjoram is another variety brought from Sicily.	The winter sweet marjoram used for the same purposes, is a native of Greece, and the pot marjoram is another variety brought from Sicily.	true	1424.9	1435.62	21.514397
1919_142785_000092_000003	All of them are favourite ingredients in soups, stuffings, &c.	All of them are favourite ingredients in soups, stuffings, and c.	false	1435.62	1442.04	20.010942
1919_142785_000093_000000	FORCEMEAT FOR PIKE, CARP, HADDOCK, AND VARIOUS KINDS OF FISH.	FORCEMEAT FOR PIKE, CARP, HADDOCK, AND VARIOUS KINDS OF FISH.	true	1442.04	1446.6	26.456533
1919_142785_000094_000000	416.	four hundred sixteen.	false	1446.6	1448.44	25.876028
1919_142785_000094_000001	INGREDIENTS.--1 oz. of fresh butter, 1 oz. of suet, 1 oz. of fat bacon, 1 small teaspoonful of minced savoury herbs, including parsley; a little onion, when liked, shredded very fine; salt, nutmeg, and cayenne to taste; 4 oz. of bread crumbs, 1 egg.	INGREDIENTS.-minus one ounce. of fresh butter, one ounce. of suet, one ounce. of fat bacon, one small teaspoonful of minced savoury herbs, including parsley; a little onion, when liked, shredded very fine; salt, nutmeg, and cayenne to taste; four ounces. of bread crumbs, one egg.	false	1449.2	1472.94	22.340868
1919_142785_000095_000000	_Mode_.--Mix all the ingredients well together, carefully mincing them very finely; beat up the egg, moisten with it, and work the whole very smoothly together.	underscore Mode underscore.--Mix all the ingredients well together, carefully mincing them very finely; beat up the egg, moisten with it, and work the whole very smoothly together.	false	1472.94	1485.43	21.619045
1919_142785_000095_000001	Oysters or anchovies may be added to this forcemeat, and will be found a great improvement.	Oysters or anchovies may be added to this forcemeat, and will be found a great improvement.	true	1486.13	1491.75	22
1919_142785_000096_000000	_Average cost_, 6d.	underscore Average cost underscore, six d.	false	1491.75	1495.11	23.02171
1919_142785_000097_000000	_Sufficient_ for a moderate-sized haddock or pike.	underscore Sufficient underscore for a moderate sized haddock or pike.	false	1495.11	1499.17	22.318628
1919_142785_000098_000000	FORCEMEAT FOR VEAL, TURKEYS, FOWLS, HARE, &c.	FORCEMEAT FOR VEAL, TURKEYS, FOWLS, HARE, and c.	false	1500.98	1505.4	24
1919_142785_000099_000000	417.	four hundred seventeen.	false	1505.4	1507.39	25.037529
1919_142785_000099_000001	INGREDIENTS.--2 oz. of ham or lean bacon, 1/4 lb. of suet, the rind of half a lemon, 1 teaspoonful of minced parsley, 1 teaspoonful of minced sweet herbs; salt, cayenne, and pounded mace to taste; 6 oz.	INGREDIENTS.-minus two ounces. of ham or lean bacon, one quarter l b of suet, the rind of half a lemon, one teaspoonful of minced parsley, one teaspoonful of minced sweet herbs; salt, cayenne, and pounded mace to taste; six ounces.	false	1508.09	1526.43	24.965197
1919_142785_000099_000002	of bread crumbs, 2 eggs.	of bread crumbs, two eggs.	true	1526.43	1528.38	24.592096
1919_142785_000100_000000	_Mode_.--Shred the ham or bacon, chop the suet, lemon-peel, and herbs, taking particular care that all be very finely minced; add a seasoning to taste, of salt, cayenne, and mace, and blend all thoroughly together with the bread crumbs, before wetting.	underscore Mode underscore.--Shred the ham or bacon, chop the suet, lemon peel, and herbs, taking particular care that all be very finely minced; add a seasoning to taste, of salt, cayenne, and mace, and blend all thoroughly together with the bread crumbs, before wetting.	false	1528.38	1547.68	24.88298
1919_142785_000100_000001	Now beat and strain the eggs, work these up with the other ingredients, and the forcemeat will be ready for use.	Now beat and strain the eggs, work these up with the other ingredients, and the forcemeat will be ready for use.	true	1548.32	1554.79	24.88289
1919_142785_000100_000002	When it is made into balls, fry of a nice brown, in boiling lard, or put them on a tin and bake for 1/2 hour in a moderate oven.	When it is made into balls, fry of a nice brown, in boiling lard, or put them on a tin and bake for one half hour in a moderate oven.	false	1555.28	1564.15	22.68821
1919_142785_000100_000003	As we have stated before, no one flavour should predominate greatly, and the forcemeat should be of sufficient body to cut with a knife, and yet not dry and heavy.	As we have stated before, no one flavour should predominate greatly, and the forcemeat should be of sufficient body to cut with a knife, and yet not dry and heavy.	true	1564.73	1575.46	24.170006
1919_142785_000100_000004	For very delicate forcemeat, it is advisable to pound the ingredients together before binding with the egg; but for ordinary cooking, mincing very finely answers the purpose.	For very delicate forcemeat, it is advisable to pound the ingredients together before binding with the egg; but for ordinary cooking, mincing very finely answers the purpose.	false	1576.01	1586.88	23.230116
1919_142785_000101_000000	_Average cost_, 8d.	underscore Average cost underscore, eight d.	false	1586.88	1589.88	21.551794
1919_142785_000102_000000	_Sufficient_ for a turkey, a moderate-sized fillet of veal, or a hare.	underscore Sufficient underscore for a turkey, a moderate sized fillet of veal, or a hare.	false	1589.88	1595.07	19.84916
1919_142785_000103_000000	_Note_.--In forcemeat for HARE, the liver of the animal is sometimes added.	underscore Note underscore.--In forcemeat for HARE, the liver of the animal is sometimes added.	false	1595.07	1601.23	19.559637
1919_142785_000103_000001	Boil for 5 minutes, mince it very small, and mix it with the other ingredients.	Boil for five minutes, mince it very small, and mix it with the other ingredients.	true	1601.51	1606.66	20.619614
1919_142785_000103_000002	If it should be in an unsound state, it must be on no account made use of.	If it should be in an unsound state, it must be on no account made use of.	true	1607.66	1613.02	22.355461
1919_142785_000104_000000	[Illustration: BASIL.]	[Illustration: BASIL.]	true	1614.47	1616.44	22.240143
1919_142785_000105_000000	SWEET HERBS.--Those most usually employed for purposes of cooking, such as the flavouring of soups, sauces, forcemeats, &c., are thyme, sage, mint, marjoram, savory, and basil.	SWEET HERBS.--Those most usually employed for purposes of cooking, such as the flavouring of soups, sauces, forcemeats, and c., are thyme, sage, mint, marjoram, savory, and basil.	false	1617.08	1630.24	22.386698
1919_142785_000105_000001	Other sweet herbs are cultivated for purposes of medicine and perfumery: they are most grateful both to the organs of taste and smelling; and to the aroma derived from them is due, in a great measure, the sweet and exhilarating fragrance of our "flowery meads." In town, sweet herbs have to be procured at the greengrocers' or herbalists', whilst, in the country, the garden should furnish all that are wanted, the cook taking great care to have some dried in the autumn for her use throughout the winter months.	Other sweet herbs are cultivated for purposes of medicine and perfumery: they are most grateful both to the organs of taste and smelling; and to the aroma derived from them is due, in a great measure, the sweet and exhilarating fragrance of our "flowery meads." In town, sweet herbs have to be procured at the greengrocers' or herbalists', whilst, in the country, the garden should furnish all that are wanted, the cook taking great care to have some dried in the autumn for her use throughout the winter months.	true	1630.64	1663.75	24.307138
1919_142785_000106_000000	FORCEMEAT FOR BAKED PIKE.	FORCEMEAT FOR BAKED PIKE.	true	1665.53	1667.64	26.63289
1919_142785_000107_000000	418.	four hundred eighteen.	false	1667.64	1669.21	19.423765
1919_142785_000107_000001	INGREDIENTS.--3 oz. of bread crumbs, 1 teaspoonful of minced savoury herbs, 8 oysters, 2 anchovies (these may be dispensed with), 2 oz. of suet; salt, pepper, and pounded mace to taste; 6 tablespoonfuls of cream or milk, the yolks of 2 eggs.	INGREDIENTS.-minus three ounces. of bread crumbs, one teaspoonful of minced savoury herbs, eight oysters, two anchovies (these may be dispensed with), two ounces. of suet; salt, pepper, and pounded mace to taste; six tablespoonfuls of cream or milk, the yolks of two eggs.	false	1669.79	1689.3	22.86269
1919_142785_000108_000000	_Mode_.--Beard and mince the oysters, prepare and mix the other ingredients by recipe No. 416, and blend the whole thoroughly together. Moisten with the cream and eggs, put all into a stewpan, and stir it over the fire till it thickens, when put it into the fish, which should have previously been cut open, and sew it up.	underscore Mode underscore.--Beard and mince the oysters, prepare and mix the other ingredients by recipe no four hundred sixteen, and blend the whole thoroughly together. Moisten with the cream and eggs, put all into a stewpan, and stir it over the fire till it thickens, when put it into the fish, which should have previously been cut open, and sew it up.	false	1689.3	1711.47	22.48926
1919_142785_000109_000000	_Time_.--4 or 6 minutes to thicken.	underscore Time underscore.-minus four or six minutes to thicken.	false	1711.47	1715.4	23.293962
1919_142785_000110_000000	_Average cost_, 10d.	underscore Average cost underscore, ten d.	false	1715.4	1718.13	21.966904
1919_142785_000111_000000	_Sufficient_ for a moderate-sized pike.	underscore Sufficient underscore for a moderate sized pike.	false	1718.13	1721.11	20.703133
1919_142785_000112_000000	FRENCH FORCEMEAT.	FRENCH FORCEMEAT.	true	1722.59	1724.04	19.131655
1919_142785_000113_000000	419.	four hundred nineteen.	false	1724.04	1725.28	27.260843
1919_142785_000113_000001	It will be well to state, in the beginning of this recipe, that French forcemeat, or quenelles, consist of the blending of three separate processes; namely, panada, udder, and whatever meat you intend using.	It will be well to state, in the beginning of this recipe, that French forcemeat, or quenelles, consist of the blending of three separate processes; namely, panada, udder, and whatever meat you intend using.	true	1725.98	1739.65	22.145124
1919_142785_000114_000000	PANADA.	PANADA.	true	1740.26	1741.11	21.312956
1919_142785_000115_000000	420.	four hundred twenty.	false	1741.11	1742.89	24.956282
1919_142785_000115_000001	INGREDIENTS.--The crumb of 2 penny rolls, 4 tablespoonfuls of white stock, No. 107, 1 oz. of butter, 1 slice of ham, 1 bay-leaf, a little minced parsley, 2 shalots, 1 clove, 2 blades of mace, a few mushrooms (when obtainable), butter, the yolks of 2 eggs.	INGREDIENTS.--The crumb of two penny rolls, four tablespoonfuls of white stock, no one hundred seven, one ounce. of butter, one slice of ham, one bay leaf, a little minced parsley, two shalots, one clove, two blades of mace, a few mushrooms (when obtainable), butter, the yolks of two eggs.	false	1743.62	1767.24	22.255463
1919_142785_000116_000000	_Mode_.--Soak the crumb of the rolls in milk for about 1/2 hour, then take it out, and squeeze so as to press the milk from it; put the soaked bread into a stewpan with the above quantity of white stock, and set it on one side; then put into a separate stewpan 1 oz. of butter, a slice of lean ham cut small, with a bay-leaf, herbs, mushrooms, spices, &c., in the above proportions, and fry them gently over a slow fire.	underscore Mode underscore.--Soak the crumb of the rolls in milk for about one half hour, then take it out, and squeeze so as to press the milk from it; put the soaked bread into a stewpan with the above quantity of white stock, and set it on one side; then put into a separate stewpan one ounce. of butter, a slice of lean ham cut small, with a bay leaf, herbs, mushrooms, spices, and c., in the above proportions, and fry them gently over a slow fire.	false	1767.24	1798.51	22.867771
1919_142785_000116_000001	When done, moisten with 2 teacupfuls of white stock, boil for 20 minutes, and strain the whole through a sieve over the panada in the other stewpan. Place it over the fire, keep constantly stirring, to prevent its burning, and when quite dry, put in a small piece of butter.	When done, moisten with two teacupfuls of white stock, boil for twenty minutes, and strain the whole through a sieve over the panada in the other stewpan. Place it over the fire, keep constantly stirring, to prevent its burning, and when quite dry, put in a small piece of butter.	true	1799.3	1817.98	23.408312
1919_142785_000116_000002	Let this again dry up by stirring over the fire; then add the yolks of 2 eggs, mix well, put the panada to cool on a clean plate, and use it when required.	Let this again dry up by stirring over the fire; then add the yolks of two eggs, mix well, put the panada to cool on a clean plate, and use it when required.	true	1818.59	1829.77	24.162352
1919_142785_000116_000003	Panada should always be well flavoured, as the forcemeat receives no taste from any of the other ingredients used in its preparation.	Panada should always be well flavoured, as the forcemeat receives no taste from any of the other ingredients used in its preparation.	false	1830.47	1838.98	22.594755
1919_142785_000117_000000	Boiled Calf's Udder for French Forcemeats.	Boiled Calf's Udder for French Forcemeats.	true	1840.67	1843.35	20.404217
1919_142785_000118_000000	421.	four hundred twenty one.	false	1843.35	1844.86	23.58893
1919_142785_000118_000001	Put the udder into a stewpan with sufficient water to cover it; let it stew gently till quite done, when take it out to cool.	Put the udder into a stewpan with sufficient water to cover it; let it stew gently till quite done, when take it out to cool.	true	1845.74	1854.49	23.833244
1919_142785_000118_000002	Trim all the upper parts, cut it into small pieces, and pound well in a mortar, till it can be rubbed through a sieve.	Trim all the upper parts, cut it into small pieces, and pound well in a mortar, till it can be rubbed through a sieve.	false	1855.16	1862.62	22.257532
1919_142785_000118_000003	That portion which passes through the strainer is one of the three ingredients of which French forcemeats are generally composed; but many cooks substitute butter for this, being a less troublesome and more expeditious mode of preparation.	That portion which passes through the strainer is one of the three ingredients of which French forcemeats are generally composed; but many cooks substitute butter for this, being a less troublesome and more expeditious mode of preparation.	true	1863.29	1877.5	23.11664
1919_142785_000119_000000	[Illustration: PESTLE AND MORTAR.]	[Illustration: PESTLE AND MORTAR.]	true	1878.62	1881.07	20.684044
1919_142785_000120_000000	PESTLE AND MORTAR.--No cookery can be perfectly performed without the aid of the useful instruments shown in the engraving.	PESTLE AND MORTAR.--No cookery can be perfectly performed without the aid of the useful instruments shown in the engraving.	true	1881.74	1889.14	22.07973
1919_142785_000120_000001	For pounding things sufficiently fine, they are invaluable, and the use of them will save a good deal of time, besides increasing the excellence of the preparations.	For pounding things sufficiently fine, they are invaluable, and the use of them will save a good deal of time, besides increasing the excellence of the preparations.	true	1889.78	1899.46	19.978918
1919_142785_000120_000002	They are made of iron, and, in that material, can be bought cheap; but as these are not available, for all purposes, we should recommend, as more economical in the end, those made of Wedgwood, although these are considerably more expensive than the former.	They are made of iron, and, in that material, can be bought cheap; but as these are not available, for all purposes, we should recommend, as more economical in the end, those made of Wedgwood, although these are considerably more expensive than the former.	true	1900.19	1915.51	21.122267
1919_142785_000121_000000	Veal Quenelles.	Veal Quenelles.	true	1917.44	1918.53	27
1919_142785_000122_000000	422.	four hundred twenty two.	false	1918.53	1921.2	24.298325
1919_142785_000122_000001	INGREDIENTS.--Equal quantities of veal, panada (No. 420), and calf's udder (No. 421), 2 eggs; seasoning to taste of pepper, salt, and pounded mace, or grated nutmeg; a little flour.	INGREDIENTS.--Equal quantities of veal, panada (no four hundred twenty), and calf's udder (no four hundred twenty one), two eggs; seasoning to taste of pepper, salt, and pounded mace, or grated nutmeg; a little flour.	false	1921.2	1937.16	22.38395
1919_142785_000123_000000	_Mode_.--Take the fleshy part of veal, scrape it with a knife, till all the meat is separated from the sinews, and allow about 1/2 lb. for an entree.	underscore Mode underscore.--Take the fleshy part of veal, scrape it with a knife, till all the meat is separated from the sinews, and allow about one half l b for an entree.	false	1937.16	1948.51	21.946959
1919_142785_000123_000001	Chop the meat, and pound it in a mortar till reduced to a paste; then roll it into a ball; make another of panada (No. 420), the same size, and another of udder (No. 421), taking care that these three balls be of the same _size_.	Chop the meat, and pound it in a mortar till reduced to a paste; then roll it into a ball; make another of panada (no four hundred twenty), the same size, and another of udder (no four hundred twenty one), taking care that these three balls be of the same underscore size underscore.	false	1949.27	1967.58	21.066032
1919_142785_000123_000002	It is to be remembered, that equality of _size_, and not of weight, is here necessary.	It is to be remembered, that equality of underscore size underscore, and not of weight, is here necessary.	false	1967.58	1973.35	21.521017
1919_142785_000123_000003	When the three ingredients are properly prepared, pound them altogether in a mortar for some time; for the more quenelles are pounded, the more delicate they are.	When the three ingredients are properly prepared, pound them altogether in a mortar for some time; for the more quenelles are pounded, the more delicate they are.	true	1974.65	1985.02	22.755413
1919_142785_000123_000004	Now moisten with the eggs, whites and yolks, and continue pounding, adding a seasoning of pepper, spices, &c.	Now moisten with the eggs, whites and yolks, and continue pounding, adding a seasoning of pepper, spices, and c.	false	1985.66	1994.1	20.362534
1919_142785_000123_000005	When the whole is well blended together, mould it into balls, or whatever shape is intended, roll them in flour, and poach in boiling water, to which a little salt should have been added.	When the whole is well blended together, mould it into balls, or whatever shape is intended, roll them in flour, and poach in boiling water, to which a little salt should have been added.	true	1994.1	2004.52	21.72204
1919_142785_000123_000006	If the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside.	If the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside.	true	2004.95	2012.2	25
1919_142785_000123_000007	In the preparation of this recipe, it would be well to bear in mind that the ingredients are to be well pounded and seasoned, and must be made hard or soft according to the dishes they are intended for.	In the preparation of this recipe, it would be well to bear in mind that the ingredients are to be well pounded and seasoned, and must be made hard or soft according to the dishes they are intended for.	true	2012.72	2024.05	21
1919_142785_000123_000008	For brown or white ragouts they should be firm, and when the quenelles are used very small, extreme delicacy will be necessary in their preparation.	For brown or white ragouts they should be firm, and when the quenelles are used very small, extreme delicacy will be necessary in their preparation.	true	2024.57	2034.61	22
1919_142785_000123_000009	Their flavour may be varied by using the flesh of rabbit, fowl, hare, pheasant, grouse, or an extra quantity of mushroom, parsley, &c.	Their flavour may be varied by using the flesh of rabbit, fowl, hare, pheasant, grouse, or an extra quantity of mushroom, parsley, and c.	false	2036.45	2047.08	22.959564
