3576_138058_000000_000000	They asked him whither he meant to direct his steps.	They asked him whither he meant to direct his steps.	false	0	0.36	9
3576_138058_000032_000000	Roque Guinart found his squires at the place to which he had ordered them, and Don Quixote on Rocinante in the midst of them delivering a harangue to them in which he urged them to give up a mode of life so full of peril, as well to the soul as to the body; but as most of them were Gascons, rough lawless fellows, his speech did not make much impression on them.	Roque Guinart found his squires at the place to which he had ordered them, and Don Quixote on Rocinante in the midst of them delivering a harangue to them in which he urged them to give up a mode of life so full of peril, as well to the soul as to the body; but as most of them were Gascons, rough lawless fellows, his speech did not make much impression on them.	false	1200.62	1225.39	17
3576_138058_000032_000001	Roque on coming up asked Sancho if his men had returned and restored to him the treasures and jewels they had stripped off Dapple. Sancho said they had, but that three kerchiefs that were worth three cities were missing.	Roque on coming up asked Sancho if his men had returned and restored to him the treasures and jewels they had stripped off Dapple. Sancho said they had, but that three kerchiefs that were worth three cities were missing.	true	1225.91	1240.78	19.317335
3576_138058_000033_000000	"What are you talking about, man?" said one of the bystanders; "I have got them, and they are not worth three reals."	"What are you talking about, man?" said one of the bystanders; "I have got them, and they are not worth three reals."	true	1240.91	1248.94	20.933872
3576_138058_000034_000000	"That is true," said Don Quixote; "but my squire values them at the rate he says, as having been given me by the person who gave them."	"That is true," said Don Quixote; "but my squire values them at the rate he says, as having been given me by the person who gave them."	true	1249.4	1258.51	19
3576_138058_000035_000000	Roque Guinart ordered them to be restored at once; and making his men fall in in line he directed all the clothing, jewellery, and money that they had taken since the last distribution to be produced; and making a hasty valuation, and reducing what could not be divided into money, he made shares for the whole band so equitably and carefully, that in no case did he exceed or fall short of strict distributive justice.	Roque Guinart ordered them to be restored at once; and making his men fall in in line he directed all the clothing, jewellery, and money that they had taken since the last distribution to be produced; and making a hasty valuation, and reducing what could not be divided into money, he made shares for the whole band so equitably and carefully, that in no case did he exceed or fall short of strict distributive justice.	false	1259.06	1287.64	18
3576_138058_000036_000000	When this had been done, and all left satisfied, Roque observed to Don Quixote, "If this scrupulous exactness were not observed with these fellows there would be no living with them."	When this had been done, and all left satisfied, Roque observed to Don Quixote, "If this scrupulous exactness were not observed with these fellows there would be no living with them."	true	1288.19	1300.45	16
3576_138058_000037_000000	Upon this Sancho remarked, "From what I have seen here, justice is such a good thing that there is no doing without it, even among the thieves themselves."	Upon this Sancho remarked, "From what I have seen here, justice is such a good thing that there is no doing without it, even among the thieves themselves."	true	1301.36	1312.24	20.197418
3576_138058_000038_000000	One of the squires heard this, and raising the butt-end of his harquebuss would no doubt have broken Sancho's head with it had not Roque Guinart called out to him to hold his hand.	One of the squires heard this, and raising the butt end of his harquebuss would no doubt have broken Sancho's head with it had not Roque Guinart called out to him to hold his hand.	true	1312.73	1324.81	15
3576_138058_000038_000001	Sancho was frightened out of his wits, and vowed not to open his lips so long as he was in the company of these people.	Sancho was frightened out of his wits, and vowed not to open his lips so long as he was in the company of these people.	true	1325.21	1333.09	13
3576_138058_000039_000000	At this instant one or two of those squires who were posted as sentinels on the roads, to watch who came along them and report what passed to their chief, came up and said, "Senor, there is a great troop of people not far off coming along the road to Barcelona."	At this instant one or two of those squires who were posted as sentinels on the roads, to watch who came along them and report what passed to their chief, came up and said, "Senor, there is a great troop of people not far off coming along the road to Barcelona."	true	1334.06	1351.27	20.890865
3576_138058_000040_000000	To which Roque replied, "Hast thou made out whether they are of the sort that are after us, or of the sort we are after?"	To which Roque replied, "Hast thou made out whether they are of the sort that are after us, or of the sort we are after?"	false	1351.94	1359.57	19
3576_138058_000041_000000	"The sort we are after," said the squire.	"The sort we are after," said the squire.	false	1359.57	1362.28	19.393114
3576_138058_000042_000000	"Well then, away with you all," said Roque, "and bring them here to me at once without letting one of them escape."	"Well then, away with you all," said Roque, "and bring them here to me at once without letting one of them escape."	true	1362.77	1369.63	21.86214
3576_138058_000043_000000	They obeyed, and Don Quixote, Sancho, and Roque, left by themselves, waited to see what the squires brought, and while they were waiting Roque said to Don Quixote, "It must seem a strange sort of life to Senor Don Quixote, this of ours, strange adventures, strange incidents, and all full of danger; and I do not wonder that it should seem so, for in truth I must own there is no mode of life more restless or anxious than ours. What led me into it was a certain thirst for vengeance, which is strong enough to disturb the quietest hearts.	They obeyed, and Don Quixote, Sancho, and Roque, left by themselves, waited to see what the squires brought, and while they were waiting Roque said to Don Quixote, "It must seem a strange sort of life to Senor Don Quixote, this of ours, strange adventures, strange incidents, and all full of danger; and I do not wonder that it should seem so, for in truth I must own there is no mode of life more restless or anxious than ours. What led me into it was a certain thirst for vengeance, which is strong enough to disturb the quietest hearts.	false	1370.27	1412.59	19.10984
3576_138058_000043_000001	I am by nature tender-hearted and kindly, but, as I said, the desire to revenge myself for a wrong that was done me so overturns all my better impulses that I keep on in this way of life in spite of what conscience tells me; and as one depth calls to another, and one sin to another sin, revenges have linked themselves together, and I have taken upon myself not only my own but those of others: it pleases God, however, that, though I see myself in this maze of entanglements, I do not lose all hope of escaping from it and reaching a safe port."	I am by nature tender hearted and kindly, but, as I said, the desire to revenge myself for a wrong that was done me so overturns all my better impulses that I keep on in this way of life in spite of what conscience tells me; and as one depth calls to another, and one sin to another sin, revenges have linked themselves together, and I have taken upon myself not only my own but those of others: it pleases God, however, that, though I see myself in this maze of entanglements, I do not lose all hope of escaping from it and reaching a safe port."	true	1413.11	1453.06	16
3576_138058_000044_000000	Don Quixote was amazed to hear Roque utter such excellent and just sentiments, for he did not think that among those who followed such trades as robbing, murdering, and waylaying, there could be anyone capable of a virtuous thought, and he said in reply, "Senor Roque, the beginning of health lies in knowing the disease and in the sick man's willingness to take the medicines which the physician prescribes; you are sick, you know what ails you, and heaven, or more properly speaking God, who is our physician, will administer medicines that will cure you, and cure gradually, and not of a sudden or by a miracle; besides, sinners of discernment are nearer amendment than those who are fools; and as your worship has shown good sense in your remarks, all you have to do is to keep up a good heart and trust that the weakness of your conscience will be strengthened.	Don Quixote was amazed to hear Roque utter such excellent and just sentiments, for he did not think that among those who followed such trades as robbing, murdering, and waylaying, there could be anyone capable of a virtuous thought, and he said in reply, "Senor Roque, the beginning of health lies in knowing the disease and in the sick man's willingness to take the medicines which the physician prescribes; you are sick, you know what ails you, and heaven, or more properly speaking God, who is our physician, will administer medicines that will cure you, and cure gradually, and not of a sudden or by a miracle; besides, sinners of discernment are nearer amendment than those who are fools; and as your worship has shown good sense in your remarks, all you have to do is to keep up a good heart and trust that the weakness of your conscience will be strengthened.	true	1453.91	1517.65	20.279284
3576_138058_000044_000001	And if you have any desire to shorten the journey and put yourself easily in the way of salvation, come with me, and I will show you how to become a knight-errant, a calling wherein so many hardships and mishaps are encountered that if they be taken as penances they will lodge you in heaven in a trice."	And if you have any desire to shorten the journey and put yourself easily in the way of salvation, come with me, and I will show you how to become a knight errant, a calling wherein so many hardships and mishaps are encountered that if they be taken as penances they will lodge you in heaven in a trice."	true	1518.14	1538.32	20
3576_138058_000045_000000	Roque laughed at Don Quixote's exhortation, and changing the conversation he related the tragic affair of Claudia Jeronima, at which Sancho was extremely grieved; for he had not found the young woman's beauty, boldness, and spirit at all amiss.	Roque laughed at Don Quixote's exhortation, and changing the conversation he related the tragic affair of Claudia Jeronima, at which Sancho was extremely grieved; for he had not found the young woman's beauty, boldness, and spirit at all amiss.	false	1538.81	1555.95	15
3576_138058_000046_000000	And now the squires despatched to make the prize came up, bringing with them two gentlemen on horseback, two pilgrims on foot, and a coach full of women with some six servants on foot and on horseback in attendance on them, and a couple of muleteers whom the gentlemen had with them.	And now the squires despatched to make the prize came up, bringing with them two gentlemen on horseback, two pilgrims on foot, and a coach full of women with some six servants on foot and on horseback in attendance on them, and a couple of muleteers whom the gentlemen had with them.	true	1555.95	1574.74	20
3576_138058_000046_000001	The squires made a ring round them, both victors and vanquished maintaining profound silence, waiting for the great Roque Guinart to speak.	The squires made a ring round them, both victors and vanquished maintaining profound silence, waiting for the great Roque Guinart to speak.	true	1574.99	1584.16	18.646935
3576_138058_000046_000002	He asked the gentlemen who they were, whither they were going, and what money they carried with them; "Senor," replied one of them, "we are two captains of Spanish infantry; our companies are at Naples, and we are on our way to embark in four galleys which they say are at Barcelona under orders for Sicily; and we have about two or three hundred crowns, with which we are, according to our notions, rich and contented, for a soldier's poverty does not allow a more extensive hoard."	He asked the gentlemen who they were, whither they were going, and what money they carried with them; "Senor," replied one of them, "we are two captains of Spanish infantry; our companies are at Naples, and we are on our way to embark in four galleys which they say are at Barcelona under orders for Sicily; and we have about two or three hundred crowns, with which we are, according to our notions, rich and contented, for a soldier's poverty does not allow a more extensive hoard."	true	1585.28	1617.64	20.152203
3576_138058_000047_000000	Roque asked the pilgrims the same questions he had put to the captains, and was answered that they were going to take ship for Rome, and that between them they might have about sixty reals.	Roque asked the pilgrims the same questions he had put to the captains, and was answered that they were going to take ship for Rome, and that between them they might have about sixty reals.	true	1617.64	1628.71	19
3576_138058_000047_000001	He asked also who was in the coach, whither they were bound and what money they had, and one of the men on horseback replied, "The persons in the coach are my lady Dona Guiomar de Quinones, wife of the regent of the Vicaria at Naples, her little daughter, a handmaid and a duenna; we six servants are in attendance upon her, and the money amounts to six hundred crowns."	He asked also who was in the coach, whither they were bound and what money they had, and one of the men on horseback replied, "The persons in the coach are my lady Dona Guiomar de Quinones, wife of the regent of the Vicaria at Naples, her little daughter, a handmaid and a duenna; we six servants are in attendance upon her, and the money amounts to six hundred crowns."	false	1628.87	1655.02	20.93105
3576_138058_000048_000000	"So then," said Roque Guinart, "we have got here nine hundred crowns and sixty reals; my soldiers must number some sixty; see how much there falls to each, for I am a bad arithmetician." As soon as the robbers heard this they raised a shout of "Long life to Roque Guinart, in spite of the lladres that seek his ruin!"	"So then," said Roque Guinart, "we have got here nine hundred crowns and sixty reals; my soldiers must number some sixty; see how much there falls to each, for I am a bad arithmetician." As soon as the robbers heard this they raised a shout of "Long life to Roque Guinart, in spite of the lladres that seek his ruin!"	true	1656.59	1679.47	20
3576_138058_000049_000000	The captains showed plainly the concern they felt, the regent's lady was downcast, and the pilgrims did not at all enjoy seeing their property confiscated.	The captains showed plainly the concern they felt, the regent's lady was downcast, and the pilgrims did not at all enjoy seeing their property confiscated.	true	1680.08	1689.97	16
3576_138058_000049_000001	Roque kept them in suspense in this way for a while; but he had no desire to prolong their distress, which might be seen a bowshot off, and turning to the captains he said, "Sirs, will your worships be pleased of your courtesy to lend me sixty crowns, and her ladyship the regent's wife eighty, to satisfy this band that follows me, for 'it is by his singing the abbot gets his dinner;' and then you may at once proceed on your journey, free and unhindered, with a safe-conduct which I shall give you, so that if you come across any other bands of mine that I have scattered in these parts, they may do you no harm; for I have no intention of doing injury to soldiers, or to any woman, especially one of quality."	Roque kept them in suspense in this way for a while; but he had no desire to prolong their distress, which might be seen a bowshot off, and turning to the captains he said, "Sirs, will your worships be pleased of your courtesy to lend me sixty crowns, and her ladyship the regent's wife eighty, to satisfy this band that follows me, for 'it is by his singing the abbot gets his dinner;' and then you may at once proceed on your journey, free and unhindered, with a safe conduct which I shall give you, so that if you come across any other bands of mine that I have scattered in these parts, they may do you no harm; for I have no intention of doing injury to soldiers, or to any woman, especially one of quality."	false	1690.4	1738.12	17
3576_138058_000050_000000	Profuse and hearty were the expressions of gratitude with which the captains thanked Roque for his courtesy and generosity; for such they regarded his leaving them their own money.	Profuse and hearty were the expressions of gratitude with which the captains thanked Roque for his courtesy and generosity; for such they regarded his leaving them their own money.	true	1738.4	1748.94	15
3576_138058_000050_000001	Senora Dona Guiomar de Quinones wanted to throw herself out of the coach to kiss the feet and hands of the great Roque, but he would not suffer it on any account; so far from that, he begged her pardon for the wrong he had done her under pressure of the inexorable necessities of his unfortunate calling.	Senora Dona Guiomar de Quinones wanted to throw herself out of the coach to kiss the feet and hands of the great Roque, but he would not suffer it on any account; so far from that, he begged her pardon for the wrong he had done her under pressure of the inexorable necessities of his unfortunate calling.	false	1748.94	1769.89	18
3576_138058_000050_000002	The regent's lady ordered one of her servants to give the eighty crowns that had been assessed as her share at once, for the captains had already paid down their sixty.	The regent's lady ordered one of her servants to give the eighty crowns that had been assessed as her share at once, for the captains had already paid down their sixty.	true	1770.56	1779.73	13
3576_138058_000050_000003	The pilgrims were about to give up the whole of their little hoard, but Roque bade them keep quiet, and turning to his men he said, "Of these crowns two fall to each man and twenty remain over; let ten be given to these pilgrims, and the other ten to this worthy squire that he may be able to speak favourably of this adventure;" and then having writing materials, with which he always went provided, brought to him, he gave them in writing a safe-conduct to the leaders of his bands; and bidding them farewell let them go free and filled with admiration at his magnanimity, his generous disposition, and his unusual conduct, and inclined to regard him as an Alexander the Great rather than a notorious robber.	The pilgrims were about to give up the whole of their little hoard, but Roque bade them keep quiet, and turning to his men he said, "Of these crowns two fall to each man and twenty remain over; let ten be given to these pilgrims, and the other ten to this worthy squire that he may be able to speak favourably of this adventure;" and then having writing materials, with which he always went provided, brought to him, he gave them in writing a safe conduct to the leaders of his bands; and bidding them farewell let them go free and filled with admiration at his magnanimity, his generous disposition, and his unusual conduct, and inclined to regard him as an Alexander the Great rather than a notorious robber.	false	1779.95	1829.02	20
3576_138058_000051_000000	One of the squires observed in his mixture of Gascon and Catalan, "This captain of ours would make a better friar than highwayman; if he wants to be so generous another time, let it be with his own property and not ours."	One of the squires observed in his mixture of Gascon and Catalan, "This captain of ours would make a better friar than highwayman; if he wants to be so generous another time, let it be with his own property and not ours."	true	1829.06	1843.12	21
3576_138058_000052_000000	The unlucky wight did not speak so low but that Roque overheard him, and drawing his sword almost split his head in two, saying, "That is the way I punish impudent saucy fellows." They were all taken aback, and not one of them dared to utter a word, such deference did they pay him.	The unlucky wight did not speak so low but that Roque overheard him, and drawing his sword almost split his head in two, saying, "That is the way I punish impudent saucy fellows." They were all taken aback, and not one of them dared to utter a word, such deference did they pay him.	true	1843.19	1861	18
3576_138058_000052_000001	Roque then withdrew to one side and wrote a letter to a friend of his at Barcelona, telling him that the famous Don Quixote of La Mancha, the knight-errant of whom there was so much talk, was with him, and was, he assured him, the drollest and wisest man in the world; and that in four days from that date, that is to say, on Saint John the Baptist's Day, he was going to deposit him in full armour mounted on his horse Rocinante, together with his squire Sancho on an ass, in the middle of the strand of the city; and bidding him give notice of this to his friends the Niarros, that they might divert themselves with him.	Roque then withdrew to one side and wrote a letter to a friend of his at Barcelona, telling him that the famous Don Quixote of La Mancha, the knight errant of whom there was so much talk, was with him, and was, he assured him, the drollest and wisest man in the world; and that in four days from that date, that is to say, on Saint john the Baptist's Day, he was going to deposit him in full armour mounted on his horse Rocinante, together with his squire Sancho on an ass, in the middle of the strand of the city; and bidding him give notice of this to his friends the Niarros, that they might divert themselves with him.	false	1863.26	1908.1	18
3576_138058_000052_000002	He wished, he said, his enemies the Cadells could be deprived of this pleasure; but that was impossible, because the crazes and shrewd sayings of Don Quixote and the humours of his squire Sancho Panza could not help giving general pleasure to all the world.	He wished, he said, his enemies the Cadells could be deprived of this pleasure; but that was impossible, because the crazes and shrewd sayings of Don Quixote and the humours of his squire Sancho Panza could not help giving general pleasure to all the world.	false	1909.01	1927.51	18
3576_138058_000052_000003	He despatched the letter by one of his squires, who, exchanging the costume of a highwayman for that of a peasant, made his way into Barcelona and gave it to the person to whom it was directed.	He despatched the letter by one of his squires, who, exchanging the costume of a highwayman for that of a peasant, made his way into Barcelona and gave it to the person to whom it was directed.	false	1928.15	1954.44	18.652182
